SMILES,label
CC(C)C[C@H](C=O)NC(=O)[C@@H](NS(=O)(=O)c1ccc(F)cc1)C(C)C,0
CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(Cc2cnn(C)c2)c(=O)nc1SCc1ccc(F)cc1,0
Cl.N#Cc1ccc2c(c1)CN(CC[C@H]1CC[C@H](NC(=O)c3cc4ccccc4[nH]3)CC1)CC2,0
CCN1c2ncc(CSc3cc(C)nc(C)c3)cc2C(=O)Nc2c(C)cc(Cl)nc21,0
CSc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccnc1)CC2,0
CCN1c2ncc(CSc3cc(C)nc(C)c3)cc2C(=O)Nc2c(C)cc(F)nc21,0
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cc(F)cc(-c3cccnc3)c1)CC2,0
COc1ccc2c(CN(C)C)cc(=O)oc2c1,0
N=C(N)NC(=N)NCCc1ccccc1,0
Cn1ccc2cc3c(cc21)CCN3C(=O)Nc1cccnc1,0
COc1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1N1CCN(C)CC1,0
COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCNCC1.Cl,0
O=C(NCC(F)(F)F)[C@@H]1CN(Cc2ccc(-c3cccnc3)o2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,0
O=C(NCC(F)(F)F)[C@@H]1CN(Cc2ccc(-c3ccccn3)o2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,0
CC(C)(c1ccc(-c2ccncc2)o1)N1CCN(C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)[C@H](C(=O)NCC(F)(F)F)C1,0
CC(C)NC[C@H](O)COc1cccc2ccccc12,0
CC(C)(C)NC(=O)[C@@H]1CN(C(C)(C)c2cc3cnccc3o2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,0
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,0
O=C(NCC(F)(F)F)[C@@H]1CN(Cc2ccc(-c3ccncc3)o2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,0
O=C(CCCN1CCC(C(O)c2ccc(F)cc2)CC1)c1ccc(F)cc1,0
O=C(NCC(F)(F)F)[C@@H]1CN(Cc2ccc(-c3ccccc3)o2)CCN1C[C@@H](O)C[C@@H](Cc1cccnc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,0
CC(C)(c1ncc(-c2cnccc2Cl)o1)N1CCN(C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)[C@H](C(=O)NCC(F)(F)F)C1,0
COc1cncc(-c2cnc(C(C)(C)N3CCN(C[C@@H](O)C[C@@H](Cc4ccccc4)C(=O)N[C@H]4c5ccccc5OC[C@H]4O)[C@H](C(=O)NCC(F)(F)F)C3)o2)c1,0
CC(C)(c1ncc(-c2ccccn2)o1)N1CCN(C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)[C@H](C(=O)NCC(F)(F)F)C1,0
CC(C)(c1ncc(-c2cccnc2)o1)N1CCN(C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)[C@H](C(=O)NCC(F)(F)F)C1,0
O=C1c2ccccc2CCCN1CCN1CCC(n2c(O)nc3cc(F)ccc32)CC1,0
O=C(NCC(F)(F)F)[C@@H]1CN(Cc2cc3cccc(Cl)c3o2)CCN1C[C@@H](O)C[C@@H](Cc1cccnc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,0
C1CCN2C[C@@H]3C[C@@H](CN4CCCCC34)C2C1,0
N=C(N)N1CCc2ccccc2C1,0
CC(C)NC[C@@H](O)COc1cccc2ccccc12,0
Clc1ccc(C(c2ccc(Cl)cc2)N2CCNCC2)cc1,0
Clc1ccc(Cl)c(SCCCN2CCNCC2)c1,0
O=C(NCC(F)(F)F)[C@@H]1CN(Cc2ccc(-c3ccccc3)o2)CCN1C[C@@H](O)C[C@@H](Cc1ccncc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,0
O=C(NCC(F)(F)F)[C@@H]1CN(CC2=CC3C=CSC3S2)CCN1C[C@@H](O)C[C@@H](Cc1ccncc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,0
CCN(CC)CCOC(=O)Cc1cccc2c(=O)cc(-c3ccccc3)oc12,0
CN(C)CCOc1ccc(/C(=C/c2ccccc2)c2ccccc2)cc1,0
CCCCNc1c(CN)cnc2cc(Cl)ccc12,0
CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12,0
CCCCOc1ccc(-n2ccnc2)cc1,0
O=C(NCC(F)(F)F)[C@@H]1CN(Cc2cc3ccccc3o2)CCN1C[C@@H](O)C[C@@H](Cc1ccncc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,0
O=C(NCC(F)(F)F)[C@@H]1CN(CC2=CC3C=CSC3S2)CCN1C[C@@H](O)C[C@@H](Cc1cccnc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,0
O=C(NCC(F)(F)F)[C@@H]1CN(Cc2cc3ccccc3o2)CCN1C[C@@H](O)C[C@@H](Cc1cccnc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,0
COc1ccc2c(c1)c1c(C)c3cnccc3c(C)c1n2CCCN,0
NCC(O)CSCc1ccc(Cl)cc1,0
Nc1ccc2c(c1)CN1C(=O)c3ccccc3C1=N2,0
c1cncc(CCCOc2ccc(-n3ccnc3)cc2)c1,0
CN(C)CCN1C(=O)c2cccc3cc(N)cc(c23)C1=O,0
CC(=O)N(C)c1ccc(Nc2cc(C)nc3ccc4nc[nH]c4c23)cc1,0
O=C(O)c1ccc(CNCc2ccccc2)cc1,0
O=C(N1CCOCC1)C1(c2ccccc2)CCNCC1,0
NCCN1C(=O)c2ccccc2C1(O)c1ccc(Cl)cc1,0
CCOC(=O)N1CCN(CCOc2ccc(-n3ccnc3)cc2)CC1,0
c1cn(-c2ccc(OCCN3CCOCC3)cc2)cn1,0
CN(C)CCOc1ccc(-n2ccnc2)cc1,0
c1cc(CCCOc2ccc(-n3ccnc3)cc2)ccn1,0
CN(C)CCCOc1ccc(-n2ccnc2)cc1,0
c1ccc(CCCOc2ccc(-n3ccnc3)cc2)nc1,0
CN(C)CCCCCCOc1ccc(-n2ccnc2)cc1,0
c1ccc(COc2ccc(-n3ccnc3)cc2)nc1,0
CCCCOc1ccc(-c2cccnc2)cc1,0
COc1ccc2c(c1[N+](=O)[O-])CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,0
CCCCOc1ccc(-c2[nH]ncc2C)cc1,0
CCCCOc1ccc(-c2ccno2)cc1,0
CCCCCCOc1ccc(-n2ccnc2)cn1,0
CC(C)NC(=O)OCc1c(COC(=O)NC(C)C)c(-c2ccc(Cl)c(Cl)c2)n2c1CCC2,0
CCCCOc1ccc(-n2cncn2)cc1,0
CCCCOc1ccc(-c2cc[nH]c2)cc1,0
CCCCOc1ccc(-c2ccncc2)cc1,0
CCCCOc1ccc(-n2ccnc2C)cc1,0
O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,0
CCCCOc1ccc(-c2ccnn2C)cc1,0
CCCCOc1ccc(-c2cnccn2)cc1,0
CCCCc1ccc(C)c(N/C=N/O)c1,0
O=C1CC2(CCCCC2)C(=O)C1CC(Cl)CCl,0
CCCCOc1ccc(-c2ccns2)cc1,0
CCc1nc(N)nc(N)c1-c1ccc(NCCN)c([N+](=O)[O-])c1,0
CCCCOc1ccc(-c2cnco2)cc1,0
CCCCOc1ccc(-c2ccon2)cc1,0
CCCCOc1ccc(-c2ccncn2)cc1,0
CCCCOc1ccc(-c2cc[nH]n2)cc1,0
CCCCOc1ccc(-n2cncc2C)cc1,0
CCCCOc1ccc(-c2cc(C)[nH]n2)cc1,0
CCCCOc1ccc(-c2ccccn2)cc1,0
CCCCOc1ccc(-c2c[nH]cn2)cc1,0
CCCCCCc1ccc(N/C=N/O)cc1,0
NCCCc1c(-c2ccccc2)[nH]c(N)nc1=O,0
CCCCOc1ccc(-c2ncc[nH]2)cc1,0
CNC/C(Cl)=N\S(=O)(=O)c1ccc(C)cc1,0
COC(=O)[C@]12OC[C@@]34[C@H]1[C@@H](OC(=O)/C=C(\C)C(C)C)C(=O)O[C@@H]3C[C@H]1C(C)=C(O)C(=O)C[C@]1(C)[C@H]4[C@@H](O)[C@@H]2O,0
COc1ccc(S(=O)(=O)N/N=C/C(=O)O)cc1,0
O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,0
Cc1ccc(N/C=N/O)cc1,0
COC12[C@H](COC(N)=O)C3=C(C(O)=C(C)C(=N)C3=O)N1C[C@H]1[C@@H]2N1C,0
O=C(Cn1ccnc1[N+](=O)[O-])N(CCO)CCO,0
NS(=O)(=O)OCCCCCCCOS(N)(=O)=O,0
Nn1nnc2ccccc21,0
CCCCc1ccc(N/C=N/O)cc1,0
CCCCc1ccccc1/N=C/NO,0
O=CC(NC(=O)N(CCCl)N=O)C(O)C(O)C(O)CO,0
O=C(O)c1cnc(N(C(=O)c2ccc(OCc3cccc(C(F)(F)F)c3)cc2)C2CCCCC2)s1,0
O=C(NCC(F)(F)F)[C@@H]1CN(Cc2ccn(-c3ccccc3)c2)CCN1C[C@@H](O)C[C@@H](Cc1cccnc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,0
CCN(CC)CCN(Cc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c2c1CCCC2,0
CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(C)c(=O)nc1SCc1ccc(F)cc1,0
