radius_2,radius_3,metric_name,mol_prop,split_type,nbit,p_value,stats_method
Radius: 2,Radius: 3,RMSE,MDR1,scaffold,NumBits: 1024,0.004138523487690776,ttest_rel
Radius: 2,Radius: 3,RMSE,MDR1,scaffold,NumBits: 1024,0.0056671726914977955,wilcoxon
Radius: 2,Radius: 3,RMSE,MDR1,scaffold,NumBits: 1024,0.3719380817678267,ttest_ind
Radius: 2,Radius: 3,RMSE,MDR1,scaffold,NumBits: 1024,0.2611758246072803,ranksums
Radius: 2,Radius: 3,R2,MDR1,scaffold,NumBits: 1024,0.012011346263840414,ttest_rel
Radius: 2,Radius: 3,R2,MDR1,scaffold,NumBits: 1024,0.01319416986541395,wilcoxon
Radius: 2,Radius: 3,R2,MDR1,scaffold,NumBits: 1024,0.5934381855567169,ttest_ind
Radius: 2,Radius: 3,R2,MDR1,scaffold,NumBits: 1024,0.6573804271100814,ranksums
Radius: 2,Radius: 3,Pearson_R,MDR1,scaffold,NumBits: 1024,0.024930811733333325,ttest_rel
Radius: 2,Radius: 3,Pearson_R,MDR1,scaffold,NumBits: 1024,0.024307541573260996,wilcoxon
Radius: 2,Radius: 3,Pearson_R,MDR1,scaffold,NumBits: 1024,0.6391167091290537,ttest_ind
Radius: 2,Radius: 3,Pearson_R,MDR1,scaffold,NumBits: 1024,0.7006856607005523,ranksums
Radius: 2,Radius: 3,MAE,MDR1,scaffold,NumBits: 1024,0.26894261509792444,ttest_rel
Radius: 2,Radius: 3,MAE,MDR1,scaffold,NumBits: 1024,0.34934556237492975,wilcoxon
Radius: 2,Radius: 3,MAE,MDR1,scaffold,NumBits: 1024,0.7391264447093377,ttest_ind
Radius: 2,Radius: 3,MAE,MDR1,scaffold,NumBits: 1024,0.6361406857702461,ranksums
Radius: 2,Radius: 3,RMSE,CYP2D6,scaffold,NumBits: 1024,0.01884474089862711,ttest_rel
Radius: 2,Radius: 3,RMSE,CYP2D6,scaffold,NumBits: 1024,0.02182672159602272,wilcoxon
Radius: 2,Radius: 3,RMSE,CYP2D6,scaffold,NumBits: 1024,0.7109019535190013,ttest_ind
Radius: 2,Radius: 3,RMSE,CYP2D6,scaffold,NumBits: 1024,0.6467245773434841,ranksums
Radius: 2,Radius: 3,R2,CYP2D6,scaffold,NumBits: 1024,0.021702561680829954,ttest_rel
Radius: 2,Radius: 3,R2,CYP2D6,scaffold,NumBits: 1024,0.024307541573260996,wilcoxon
Radius: 2,Radius: 3,R2,CYP2D6,scaffold,NumBits: 1024,0.46427940939701917,ttest_ind
Radius: 2,Radius: 3,R2,CYP2D6,scaffold,NumBits: 1024,0.3593342645393439,ranksums
Radius: 2,Radius: 3,Pearson_R,CYP2D6,scaffold,NumBits: 1024,0.06377828789488335,ttest_rel
Radius: 2,Radius: 3,Pearson_R,CYP2D6,scaffold,NumBits: 1024,0.06871363079688197,wilcoxon
Radius: 2,Radius: 3,Pearson_R,CYP2D6,scaffold,NumBits: 1024,0.591740624956712,ttest_ind
Radius: 2,Radius: 3,Pearson_R,CYP2D6,scaffold,NumBits: 1024,0.48713803171001935,ranksums
Radius: 2,Radius: 3,MAE,CYP2D6,scaffold,NumBits: 1024,0.04713273675359554,ttest_rel
Radius: 2,Radius: 3,MAE,CYP2D6,scaffold,NumBits: 1024,0.049498046027749744,wilcoxon
Radius: 2,Radius: 3,MAE,CYP2D6,scaffold,NumBits: 1024,0.6261104404194916,ttest_ind
Radius: 2,Radius: 3,MAE,CYP2D6,scaffold,NumBits: 1024,0.6361406857702461,ranksums
Radius: 2,Radius: 3,RMSE,CYP3A4,scaffold,NumBits: 1024,0.8073674307289617,ttest_rel
Radius: 2,Radius: 3,RMSE,CYP3A4,scaffold,NumBits: 1024,0.20588822305607402,wilcoxon
Radius: 2,Radius: 3,RMSE,CYP3A4,scaffold,NumBits: 1024,0.9607310680287527,ttest_ind
Radius: 2,Radius: 3,RMSE,CYP3A4,scaffold,NumBits: 1024,0.7787839689422886,ranksums
Radius: 2,Radius: 3,R2,CYP3A4,scaffold,NumBits: 1024,0.922046548639584,ttest_rel
Radius: 2,Radius: 3,R2,CYP3A4,scaffold,NumBits: 1024,0.2802144081140372,wilcoxon
Radius: 2,Radius: 3,R2,CYP3A4,scaffold,NumBits: 1024,0.978392973455283,ttest_ind
Radius: 2,Radius: 3,R2,CYP3A4,scaffold,NumBits: 1024,0.7116726254873127,ranksums
Radius: 2,Radius: 3,Pearson_R,CYP3A4,scaffold,NumBits: 1024,0.4324756409310393,ttest_rel
Radius: 2,Radius: 3,Pearson_R,CYP3A4,scaffold,NumBits: 1024,0.29894375201959067,wilcoxon
Radius: 2,Radius: 3,Pearson_R,CYP3A4,scaffold,NumBits: 1024,0.8748668784233502,ttest_ind
Radius: 2,Radius: 3,Pearson_R,CYP3A4,scaffold,NumBits: 1024,0.8130052876119973,ranksums
Radius: 2,Radius: 3,MAE,CYP3A4,scaffold,NumBits: 1024,0.028959767555845152,ttest_rel
Radius: 2,Radius: 3,MAE,CYP3A4,scaffold,NumBits: 1024,0.01565848334220057,wilcoxon
Radius: 2,Radius: 3,MAE,CYP3A4,scaffold,NumBits: 1024,0.7133987119758417,ttest_ind
Radius: 2,Radius: 3,MAE,CYP3A4,scaffold,NumBits: 1024,0.6151959787448548,ranksums
Radius: 2,Radius: 3,RMSE,MOR,scaffold,NumBits: 1024,0.00028157597665332186,ttest_rel
Radius: 2,Radius: 3,RMSE,MOR,scaffold,NumBits: 1024,0.000489690070533264,wilcoxon
Radius: 2,Radius: 3,RMSE,MOR,scaffold,NumBits: 1024,0.5821431315759373,ttest_ind
Radius: 2,Radius: 3,RMSE,MOR,scaffold,NumBits: 1024,0.49645154752910825,ranksums
Radius: 2,Radius: 3,R2,MOR,scaffold,NumBits: 1024,0.00024112105977292528,ttest_rel
Radius: 2,Radius: 3,R2,MOR,scaffold,NumBits: 1024,0.0005706436710454648,wilcoxon
Radius: 2,Radius: 3,R2,MOR,scaffold,NumBits: 1024,0.5555008962715939,ttest_ind
Radius: 2,Radius: 3,R2,MOR,scaffold,NumBits: 1024,0.5153597975802848,ranksums
Radius: 2,Radius: 3,Pearson_R,MOR,scaffold,NumBits: 1024,0.0003384365125137344,ttest_rel
Radius: 2,Radius: 3,Pearson_R,MOR,scaffold,NumBits: 1024,0.0011138009078172067,wilcoxon
Radius: 2,Radius: 3,Pearson_R,MOR,scaffold,NumBits: 1024,0.5414753977650644,ttest_ind
Radius: 2,Radius: 3,Pearson_R,MOR,scaffold,NumBits: 1024,0.564214705145786,ranksums
Radius: 2,Radius: 3,MAE,MOR,scaffold,NumBits: 1024,5.277260291469937e-06,ttest_rel
Radius: 2,Radius: 3,MAE,MOR,scaffold,NumBits: 1024,3.7242647279456434e-05,wilcoxon
Radius: 2,Radius: 3,MAE,MOR,scaffold,NumBits: 1024,0.40941831849085397,ttest_ind
Radius: 2,Radius: 3,MAE,MOR,scaffold,NumBits: 1024,0.39117045199768474,ranksums
Radius: 2,Radius: 3,RMSE,DOR,scaffold,NumBits: 1024,0.17859052868424002,ttest_rel
Radius: 2,Radius: 3,RMSE,DOR,scaffold,NumBits: 1024,0.1305916349444668,wilcoxon
