metric_score,metric_name,mol_prop,model_name,fold,split_type,task
0.9925925925925926,AUROC,MDR1,RF,0,scaffold,cutoff6
0.8422222222222222,AUROC,MDR1,molbert,0,scaffold,cutoff6
0.8081481481481482,AUROC,MDR1,grover_base,0,scaffold,cutoff6
0.9199999999999999,AUROC,MDR1,grover_base_rdkit,0,scaffold,cutoff6
0.9208459595959596,AUPRC,MDR1,RF,0,scaffold,cutoff6
0.6660382141852317,AUPRC,MDR1,molbert,0,scaffold,cutoff6
0.5493934278337452,AUPRC,MDR1,grover_base,0,scaffold,cutoff6
0.6283022532250842,AUPRC,MDR1,grover_base_rdkit,0,scaffold,cutoff6
0.6,Precision_PPV,MDR1,RF,0,scaffold,cutoff6
0.46153846153846156,Precision_PPV,MDR1,molbert,0,scaffold,cutoff6
0.8,Precision_PPV,MDR1,grover_base,0,scaffold,cutoff6
0.28125,Precision_PPV,MDR1,grover_base_rdkit,0,scaffold,cutoff6
0.9923076923076923,Precision_NPV,MDR1,RF,0,scaffold,cutoff6
0.9696969696969697,Precision_NPV,MDR1,molbert,0,scaffold,cutoff6
0.9571428571428572,Precision_NPV,MDR1,grover_base,0,scaffold,cutoff6
0.9911504424778761,Precision_NPV,MDR1,grover_base_rdkit,0,scaffold,cutoff6
0.9858233369683751,AUROC,MDR1,RF,1,scaffold,cutoff6
0.9482006543075245,AUROC,MDR1,molbert,1,scaffold,cutoff6
0.9416575790621593,AUROC,MDR1,grover_base,1,scaffold,cutoff6
0.9492911668484187,AUROC,MDR1,grover_base_rdkit,1,scaffold,cutoff6
0.9530244530244529,AUPRC,MDR1,RF,1,scaffold,cutoff6
0.9374575263336731,AUPRC,MDR1,molbert,1,scaffold,cutoff6
0.9138089789691619,AUPRC,MDR1,grover_base,1,scaffold,cutoff6
0.937624379676046,AUPRC,MDR1,grover_base_rdkit,1,scaffold,cutoff6
1.0,Precision_PPV,MDR1,RF,1,scaffold,cutoff6
1.0,Precision_PPV,MDR1,molbert,1,scaffold,cutoff6
0.6666666666666666,Precision_PPV,MDR1,grover_base,1,scaffold,cutoff6
1.0,Precision_PPV,MDR1,grover_base_rdkit,1,scaffold,cutoff6
0.9849624060150376,Precision_NPV,MDR1,RF,1,scaffold,cutoff6
0.9849624060150376,Precision_NPV,MDR1,molbert,1,scaffold,cutoff6
0.984251968503937,Precision_NPV,MDR1,grover_base,1,scaffold,cutoff6
0.9849624060150376,Precision_NPV,MDR1,grover_base_rdkit,1,scaffold,cutoff6
0.9182496607869742,AUROC,MDR1,RF,2,scaffold,cutoff6
0.6316146540027137,AUROC,MDR1,molbert,2,scaffold,cutoff6
0.9925373134328359,AUROC,MDR1,grover_base,2,scaffold,cutoff6
0.89280868385346,AUROC,MDR1,grover_base_rdkit,2,scaffold,cutoff6
0.7525169559404584,AUPRC,MDR1,RF,2,scaffold,cutoff6
0.3354262099665153,AUPRC,MDR1,molbert,2,scaffold,cutoff6
0.8608833086105814,AUPRC,MDR1,grover_base,2,scaffold,cutoff6
0.6683072403310991,AUPRC,MDR1,grover_base_rdkit,2,scaffold,cutoff6
0.5294117647058824,Precision_PPV,MDR1,RF,2,scaffold,cutoff6
0.5,Precision_PPV,MDR1,molbert,2,scaffold,cutoff6
0.7692307692307693,Precision_PPV,MDR1,grover_base,2,scaffold,cutoff6
0.225,Precision_PPV,MDR1,grover_base_rdkit,2,scaffold,cutoff6
0.984375,Precision_NPV,MDR1,RF,2,scaffold,cutoff6
0.9624060150375939,Precision_NPV,MDR1,molbert,2,scaffold,cutoff6
0.9924242424242424,Precision_NPV,MDR1,grover_base,2,scaffold,cutoff6
0.9809523809523809,Precision_NPV,MDR1,grover_base_rdkit,2,scaffold,cutoff6
0.9944444444444445,AUROC,MDR1,RF,3,scaffold,cutoff6
0.8562962962962963,AUROC,MDR1,molbert,3,scaffold,cutoff6
0.9170370370370371,AUROC,MDR1,grover_base,3,scaffold,cutoff6
0.9444444444444444,AUROC,MDR1,grover_base_rdkit,3,scaffold,cutoff6
0.941031746031746,AUPRC,MDR1,RF,3,scaffold,cutoff6
0.6389077555507879,AUPRC,MDR1,molbert,3,scaffold,cutoff6
0.7485607030321648,AUPRC,MDR1,grover_base,3,scaffold,cutoff6
0.670083161400761,AUPRC,MDR1,grover_base_rdkit,3,scaffold,cutoff6
0.6428571428571429,Precision_PPV,MDR1,RF,3,scaffold,cutoff6
0.35294117647058826,Precision_PPV,MDR1,molbert,3,scaffold,cutoff6
0.5714285714285714,Precision_PPV,MDR1,grover_base,3,scaffold,cutoff6
0.2903225806451613,Precision_PPV,MDR1,grover_base_rdkit,3,scaffold,cutoff6
0.9923664122137404,Precision_NPV,MDR1,RF,3,scaffold,cutoff6
0.96875,Precision_NPV,MDR1,molbert,3,scaffold,cutoff6
0.9847328244274809,Precision_NPV,MDR1,grover_base,3,scaffold,cutoff6
0.9912280701754386,Precision_NPV,MDR1,grover_base_rdkit,3,scaffold,cutoff6
0.9934,AUROC,MDR1,RF,4,scaffold,cutoff6
0.9796,AUROC,MDR1,molbert,4,scaffold,cutoff6
0.9448,AUROC,MDR1,grover_base,4,scaffold,cutoff6
0.978,AUROC,MDR1,grover_base_rdkit,4,scaffold,cutoff6
0.9528262067310055,AUPRC,MDR1,RF,4,scaffold,cutoff6
0.9542145483964255,AUPRC,MDR1,molbert,4,scaffold,cutoff6
0.8970324181798859,AUPRC,MDR1,grover_base,4,scaffold,cutoff6
0.9380330544043068,AUPRC,MDR1,grover_base_rdkit,4,scaffold,cutoff6
0.9473684210526315,Precision_PPV,MDR1,RF,4,scaffold,cutoff6
0.9,Precision_PPV,MDR1,molbert,4,scaffold,cutoff6
0.5806451612903226,Precision_PPV,MDR1,grover_base,4,scaffold,cutoff6
0.8947368421052632,Precision_PPV,MDR1,grover_base_rdkit,4,scaffold,cutoff6
0.9841269841269841,Precision_NPV,MDR1,RF,4,scaffold,cutoff6
0.984,Precision_NPV,MDR1,molbert,4,scaffold,cutoff6
0.9824561403508771,Precision_NPV,MDR1,grover_base,4,scaffold,cutoff6
0.9761904761904762,Precision_NPV,MDR1,grover_base_rdkit,4,scaffold,cutoff6
0.9958592132505176,AUROC,MDR1,RF,5,scaffold,cutoff6
0.9937888198757764,AUROC,MDR1,molbert,5,scaffold,cutoff6
0.9968944099378881,AUROC,MDR1,grover_base,5,scaffold,cutoff6
0.9968944099378882,AUROC,MDR1,grover_base_rdkit,5,scaffold,cutoff6
0.9004251700680272,AUPRC,MDR1,RF,5,scaffold,cutoff6
0.799234693877551,AUPRC,MDR1,molbert,5,scaffold,cutoff6
0.9325680272108843,AUPRC,MDR1,grover_base,5,scaffold,cutoff6
0.9441609977324261,AUPRC,MDR1,grover_base_rdkit,5,scaffold,cutoff6
0.8571428571428571,Precision_PPV,MDR1,RF,5,scaffold,cutoff6
0.8571428571428571,Precision_PPV,MDR1,molbert,5,scaffold,cutoff6
0.8571428571428571,Precision_PPV,MDR1,grover_base,5,scaffold,cutoff6
0.75,Precision_PPV,MDR1,grover_base_rdkit,5,scaffold,cutoff6
0.9927536231884058,Precision_NPV,MDR1,RF,5,scaffold,cutoff6
0.9927536231884058,Precision_NPV,MDR1,molbert,5,scaffold,cutoff6
0.9927536231884058,Precision_NPV,MDR1,grover_base,5,scaffold,cutoff6
0.9927007299270073,Precision_NPV,MDR1,grover_base_rdkit,5,scaffold,cutoff6
0.954225352112676,AUROC,MDR1,RF,6,scaffold,cutoff6
0.6832151300236406,AUROC,MDR1,molbert,6,scaffold,cutoff6
0.7582159624413145,AUROC,MDR1,grover_base,6,scaffold,cutoff6
0.6502347417840375,AUROC,MDR1,grover_base_rdkit,6,scaffold,cutoff6
0.4813422445001392,AUPRC,MDR1,RF,6,scaffold,cutoff6
0.35232602334854884,AUPRC,MDR1,molbert,6,scaffold,cutoff6
0.35923804833957934,AUPRC,MDR1,grover_base,6,scaffold,cutoff6
0.3544407883390934,AUPRC,MDR1,grover_base_rdkit,6,scaffold,cutoff6
0.1111111111111111,Precision_PPV,MDR1,RF,6,scaffold,cutoff6
0.02531645569620253,Precision_PPV,MDR1,molbert,6,scaffold,cutoff6
0.027777777777777776,Precision_PPV,MDR1,grover_base,6,scaffold,cutoff6
0.02857142857142857,Precision_PPV,MDR1,grover_base_rdkit,6,scaffold,cutoff6
0.9921259842519685,Precision_NPV,MDR1,RF,6,scaffold,cutoff6
0.9846153846153847,Precision_NPV,MDR1,molbert,6,scaffold,cutoff6
0.9863013698630136,Precision_NPV,MDR1,grover_base,6,scaffold,cutoff6
0.9818181818181818,Precision_NPV,MDR1,grover_base_rdkit,6,scaffold,cutoff6
0.9951963241436926,AUROC,MDR1,RF,7,scaffold,cutoff6
0.9949874686716793,AUROC,MDR1,molbert,7,scaffold,cutoff6
0.9987468671679198,AUROC,MDR1,grover_base,7,scaffold,cutoff6
0.9983291562238931,AUROC,MDR1,grover_base_rdkit,7,scaffold,cutoff6
0.9640034845886645,AUPRC,MDR1,RF,7,scaffold,cutoff6
0.9554931464801919,AUPRC,MDR1,molbert,7,scaffold,cutoff6
0.9920151255331309,AUPRC,MDR1,grover_base,7,scaffold,cutoff6
0.9894604933386095,AUPRC,MDR1,grover_base_rdkit,7,scaffold,cutoff6
0.9,Precision_PPV,MDR1,RF,7,scaffold,cutoff6
0.9,Precision_PPV,MDR1,molbert,7,scaffold,cutoff6
0.9,Precision_PPV,MDR1,grover_base,7,scaffold,cutoff6
0.9,Precision_PPV,MDR1,grover_base_rdkit,7,scaffold,cutoff6
0.992,Precision_NPV,MDR1,RF,7,scaffold,cutoff6
0.992,Precision_NPV,MDR1,molbert,7,scaffold,cutoff6
0.992,Precision_NPV,MDR1,grover_base,7,scaffold,cutoff6
0.992,Precision_NPV,MDR1,grover_base_rdkit,7,scaffold,cutoff6
1.0,AUROC,MDR1,RF,8,scaffold,cutoff6
1.0,AUROC,MDR1,molbert,8,scaffold,cutoff6
1.0,AUROC,MDR1,grover_base,8,scaffold,cutoff6
1.0,AUROC,MDR1,grover_base_rdkit,8,scaffold,cutoff6
1.0,AUPRC,MDR1,RF,8,scaffold,cutoff6
0.9999999999999998,AUPRC,MDR1,molbert,8,scaffold,cutoff6
0.9999999999999998,AUPRC,MDR1,grover_base,8,scaffold,cutoff6
0.9999999999999998,AUPRC,MDR1,grover_base_rdkit,8,scaffold,cutoff6
1.0,Precision_PPV,MDR1,RF,8,scaffold,cutoff6
1.0,Precision_PPV,MDR1,molbert,8,scaffold,cutoff6
1.0,Precision_PPV,MDR1,grover_base,8,scaffold,cutoff6
1.0,Precision_PPV,MDR1,grover_base_rdkit,8,scaffold,cutoff6
0.9921259842519685,Precision_NPV,MDR1,RF,8,scaffold,cutoff6
0.9921259842519685,Precision_NPV,MDR1,molbert,8,scaffold,cutoff6
0.9921259842519685,Precision_NPV,MDR1,grover_base,8,scaffold,cutoff6
0.9921259842519685,Precision_NPV,MDR1,grover_base_rdkit,8,scaffold,cutoff6
0.9841558441558442,AUROC,MDR1,RF,9,scaffold,cutoff6
0.9054545454545455,AUROC,MDR1,molbert,9,scaffold,cutoff6
0.3849350649350649,AUROC,MDR1,grover_base,9,scaffold,cutoff6
0.9228571428571428,AUROC,MDR1,grover_base_rdkit,9,scaffold,cutoff6
0.9736370263107221,AUPRC,MDR1,RF,9,scaffold,cutoff6
0.8810917513355981,AUPRC,MDR1,molbert,9,scaffold,cutoff6
0.18497200822851506,AUPRC,MDR1,grover_base,9,scaffold,cutoff6
0.8839194637772564,AUPRC,MDR1,grover_base_rdkit,9,scaffold,cutoff6
