split_type,metric_name,mol_prop,model_name,task,p_value,stats_method
scaffold,AUROC,MDR1,RF,cutoff6,0.05318732850920236,ttest_rel
scaffold,AUROC,MDR1,RF,cutoff6,0.041139141993459444,wilcoxon
scaffold,AUROC,MDR1,RF,cutoff6,0.08613948718195541,ttest_ind
scaffold,AUROC,MDR1,RF,cutoff6,0.0919067004658575,ranksums
scaffold,AUROC,MDR1,molbert,cutoff6,0.10298039812360425,ttest_rel
scaffold,AUROC,MDR1,molbert,cutoff6,0.33887029444588135,wilcoxon
scaffold,AUROC,MDR1,molbert,cutoff6,0.13279389592008928,ttest_ind
scaffold,AUROC,MDR1,molbert,cutoff6,0.8302552839111963,ranksums
scaffold,AUROC,MDR1,grover_base,cutoff6,0.07856272634918607,ttest_rel
scaffold,AUROC,MDR1,grover_base,cutoff6,0.4174403049093858,wilcoxon
scaffold,AUROC,MDR1,grover_base,cutoff6,0.11805410427793787,ttest_ind
scaffold,AUROC,MDR1,grover_base,cutoff6,0.9058494458660942,ranksums
scaffold,AUROC,MDR1,grover_base_rdkit,cutoff6,0.034522468183204716,ttest_rel
scaffold,AUROC,MDR1,grover_base_rdkit,cutoff6,0.1109361160000538,wilcoxon
scaffold,AUROC,MDR1,grover_base_rdkit,cutoff6,0.04531141696913387,ttest_ind
scaffold,AUROC,MDR1,grover_base_rdkit,cutoff6,0.7393988193114496,ranksums
scaffold,AUPRC,MDR1,RF,cutoff6,,ttest_rel
scaffold,AUPRC,MDR1,RF,cutoff6,0.028961723299354817,wilcoxon
scaffold,AUPRC,MDR1,RF,cutoff6,,ttest_ind
scaffold,AUPRC,MDR1,RF,cutoff6,0.9469559422255942,ranksums
scaffold,AUPRC,MDR1,molbert,cutoff6,,ttest_rel
scaffold,AUPRC,MDR1,molbert,cutoff6,0.06767564114400142,wilcoxon
scaffold,AUPRC,MDR1,molbert,cutoff6,,ttest_ind
scaffold,AUPRC,MDR1,molbert,cutoff6,0.3365583763946506,ranksums
scaffold,AUPRC,MDR1,grover_base,cutoff6,,ttest_rel
scaffold,AUPRC,MDR1,grover_base,cutoff6,0.1915221065809437,wilcoxon
scaffold,AUPRC,MDR1,grover_base,cutoff6,,ttest_ind
scaffold,AUPRC,MDR1,grover_base,cutoff6,0.18576685629821565,ranksums
scaffold,AUPRC,MDR1,grover_base_rdkit,cutoff6,,ttest_rel
scaffold,AUPRC,MDR1,grover_base_rdkit,cutoff6,0.07443762498218096,wilcoxon
scaffold,AUPRC,MDR1,grover_base_rdkit,cutoff6,,ttest_ind
scaffold,AUPRC,MDR1,grover_base_rdkit,cutoff6,0.2904721494938346,ranksums
scaffold,Precision_PPV,MDR1,RF,cutoff6,0.11555942226183578,ttest_rel
scaffold,Precision_PPV,MDR1,RF,cutoff6,0.1283468342117401,wilcoxon
scaffold,Precision_PPV,MDR1,RF,cutoff6,0.15464832908042037,ttest_ind
scaffold,Precision_PPV,MDR1,RF,cutoff6,0.07244559577423665,ranksums
scaffold,Precision_PPV,MDR1,molbert,cutoff6,0.38772566737533143,ttest_rel
