split_type,metric_name,mol_prop,model_name,task,p_value,stats_method
scaffold,RMSE,MDR1,RF,reg,0.0413401767270969,ttest_rel
scaffold,RMSE,MDR1,RF,reg,0.06564114341025874,wilcoxon
scaffold,RMSE,MDR1,RF,reg,0.07602136325225026,ttest_ind
scaffold,RMSE,MDR1,RF,reg,0.16016393690179076,ranksums
scaffold,RMSE,MDR1,molbert,reg,0.04701767082528664,ttest_rel
scaffold,RMSE,MDR1,molbert,reg,0.06268281249957977,wilcoxon
scaffold,RMSE,MDR1,molbert,reg,0.03740136263980667,ttest_ind
scaffold,RMSE,MDR1,molbert,reg,0.08634644641194693,ranksums
scaffold,RMSE,MDR1,grover_base,reg,0.048100200653496225,ttest_rel
scaffold,RMSE,MDR1,grover_base,reg,0.0858958258699641,wilcoxon
scaffold,RMSE,MDR1,grover_base,reg,0.05200325651117667,ttest_ind
scaffold,RMSE,MDR1,grover_base,reg,0.2035648406111873,ranksums
scaffold,RMSE,MDR1,grover_base_rdkit,reg,0.03139338724600078,ttest_rel
scaffold,RMSE,MDR1,grover_base_rdkit,reg,0.040702311426277726,wilcoxon
scaffold,RMSE,MDR1,grover_base_rdkit,reg,0.029092946581522665,ttest_ind
scaffold,RMSE,MDR1,grover_base_rdkit,reg,0.05460886523214059,ranksums
scaffold,MAE,MDR1,RF,reg,0.060099503501462405,ttest_rel
scaffold,MAE,MDR1,RF,reg,0.0977721901049929,wilcoxon
scaffold,MAE,MDR1,RF,reg,0.12107470404544778,ttest_ind
scaffold,MAE,MDR1,RF,reg,0.15581016161085134,ranksums
scaffold,MAE,MDR1,molbert,reg,0.041545271264105114,ttest_rel
scaffold,MAE,MDR1,molbert,reg,0.09367559653193051,wilcoxon
scaffold,MAE,MDR1,molbert,reg,0.02943917112246998,ttest_ind
scaffold,MAE,MDR1,molbert,reg,0.09479279235540534,ranksums
scaffold,MAE,MDR1,grover_base,reg,0.08772523074059815,ttest_rel
scaffold,MAE,MDR1,grover_base,reg,0.14138951131633032,wilcoxon
scaffold,MAE,MDR1,grover_base,reg,0.09140789943419679,ttest_ind
scaffold,MAE,MDR1,grover_base,reg,0.25495317799825346,ranksums
scaffold,MAE,MDR1,grover_base_rdkit,reg,0.0437910118741703,ttest_rel
scaffold,MAE,MDR1,grover_base_rdkit,reg,0.05709649524315731,wilcoxon
scaffold,MAE,MDR1,grover_base_rdkit,reg,0.039728661740655195,ttest_ind
scaffold,MAE,MDR1,grover_base_rdkit,reg,0.05460886523214059,ranksums
scaffold,R2,MDR1,RF,reg,0.2291290092158999,ttest_rel
scaffold,R2,MDR1,RF,reg,0.3600388294588497,wilcoxon
scaffold,R2,MDR1,RF,reg,0.2473546127578138,ttest_ind
scaffold,R2,MDR1,RF,reg,0.847587480259332,ranksums
scaffold,R2,MDR1,molbert,reg,0.07950440004651851,ttest_rel
scaffold,R2,MDR1,molbert,reg,0.18462187723062606,wilcoxon
scaffold,R2,MDR1,molbert,reg,0.09729968454097757,ttest_ind
scaffold,R2,MDR1,molbert,reg,0.5153597975802848,ranksums
scaffold,R2,MDR1,grover_base,reg,0.21103725429208675,ttest_rel
scaffold,R2,MDR1,grover_base,reg,0.019569215233846395,wilcoxon
scaffold,R2,MDR1,grover_base,reg,0.23699772698387694,ttest_ind
scaffold,R2,MDR1,grover_base,reg,0.1241512810914928,ranksums
scaffold,R2,MDR1,grover_base_rdkit,reg,0.1424529900912517,ttest_rel
scaffold,R2,MDR1,grover_base_rdkit,reg,0.20588822305607402,wilcoxon
scaffold,R2,MDR1,grover_base_rdkit,reg,0.1624874241582423,ttest_ind
scaffold,R2,MDR1,grover_base_rdkit,reg,0.3440449406444759,ranksums
scaffold,Pearson_R,MDR1,RF,reg,0.2515624740674426,ttest_rel
scaffold,Pearson_R,MDR1,RF,reg,0.4405215911492053,wilcoxon
scaffold,Pearson_R,MDR1,RF,reg,0.300988818576477,ttest_ind
scaffold,Pearson_R,MDR1,RF,reg,0.8941460645782624,ranksums
scaffold,Pearson_R,MDR1,molbert,reg,0.6872893757982058,ttest_rel
scaffold,Pearson_R,MDR1,molbert,reg,0.9753871641763363,wilcoxon
scaffold,Pearson_R,MDR1,molbert,reg,0.7060681634540253,ttest_ind
scaffold,Pearson_R,MDR1,molbert,reg,0.7449863001756435,ranksums
scaffold,Pearson_R,MDR1,grover_base,reg,0.6261999831001522,ttest_rel
scaffold,Pearson_R,MDR1,grover_base,reg,0.6143145637885868,wilcoxon
scaffold,Pearson_R,MDR1,grover_base,reg,0.775596426273379,ttest_ind
scaffold,Pearson_R,MDR1,grover_base,reg,0.5945602565439676,ranksums
scaffold,Pearson_R,MDR1,grover_base_rdkit,reg,0.21845357430703743,ttest_rel
scaffold,Pearson_R,MDR1,grover_base_rdkit,reg,0.41653380739187873,wilcoxon
scaffold,Pearson_R,MDR1,grover_base_rdkit,reg,0.23079843216874907,ttest_ind
scaffold,Pearson_R,MDR1,grover_base_rdkit,reg,1.0,ranksums
scaffold,RMSE,CYP3A4,RF,reg,1.7203156789920054e-06,ttest_rel
scaffold,RMSE,CYP3A4,RF,reg,1.9729484515803686e-05,wilcoxon
scaffold,RMSE,CYP3A4,RF,reg,1.913673027783607e-06,ttest_ind
scaffold,RMSE,CYP3A4,RF,reg,9.193236731325049e-06,ranksums
scaffold,RMSE,CYP3A4,molbert,reg,6.414348515615623e-05,ttest_rel
scaffold,RMSE,CYP3A4,molbert,reg,6.892290296834955e-05,wilcoxon
scaffold,RMSE,CYP3A4,molbert,reg,0.0002450229760591042,ttest_ind
scaffold,RMSE,CYP3A4,molbert,reg,0.0006728295058485795,ranksums
scaffold,RMSE,CYP3A4,grover_base,reg,0.14619440676804724,ttest_rel
scaffold,RMSE,CYP3A4,grover_base,reg,0.17137638877502248,wilcoxon
scaffold,RMSE,CYP3A4,grover_base,reg,0.20847561426034333,ttest_ind
