model_1,model_2,metric_name,mol_prop,split_type,task,p_value,stats_method
RF,RF,AUROC,MDR1,scaffold,cutoff6,,ttest_rel
RF,RF,AUROC,MDR1,scaffold,cutoff6,1,wilcoxon
RF,RF,AUROC,MDR1,scaffold,cutoff6,1.0,ttest_ind
RF,RF,AUROC,MDR1,scaffold,cutoff6,1.0,ranksums
RF,molbert,AUROC,MDR1,scaffold,cutoff6,1.887462262126234e-05,ttest_rel
RF,molbert,AUROC,MDR1,scaffold,cutoff6,3.084038529448805e-05,wilcoxon
RF,molbert,AUROC,MDR1,scaffold,cutoff6,0.05604543527578314,ttest_ind
RF,molbert,AUROC,MDR1,scaffold,cutoff6,0.003758531924778052,ranksums
RF,grover_base,AUROC,MDR1,scaffold,cutoff6,8.069045643730862e-05,ttest_rel
RF,grover_base,AUROC,MDR1,scaffold,cutoff6,7.252170003228448e-05,wilcoxon
RF,grover_base,AUROC,MDR1,scaffold,cutoff6,0.010905194374623669,ttest_ind
RF,grover_base,AUROC,MDR1,scaffold,cutoff6,0.0004336778335061887,ranksums
RF,grover_base_rdkit,AUROC,MDR1,scaffold,cutoff6,0.05454625113145682,ttest_rel
RF,grover_base_rdkit,AUROC,MDR1,scaffold,cutoff6,0.0028538533855484325,wilcoxon
RF,grover_base_rdkit,AUROC,MDR1,scaffold,cutoff6,0.27274420171240815,ttest_ind
RF,grover_base_rdkit,AUROC,MDR1,scaffold,cutoff6,0.015323330243419487,ranksums
molbert,RF,AUROC,MDR1,scaffold,cutoff6,1.887462262126234e-05,ttest_rel
molbert,RF,AUROC,MDR1,scaffold,cutoff6,3.084038529448805e-05,wilcoxon
molbert,RF,AUROC,MDR1,scaffold,cutoff6,0.05604543527578314,ttest_ind
molbert,RF,AUROC,MDR1,scaffold,cutoff6,0.003758531924778052,ranksums
molbert,molbert,AUROC,MDR1,scaffold,cutoff6,,ttest_rel
molbert,molbert,AUROC,MDR1,scaffold,cutoff6,1,wilcoxon
molbert,molbert,AUROC,MDR1,scaffold,cutoff6,1.0,ttest_ind
molbert,molbert,AUROC,MDR1,scaffold,cutoff6,1.0,ranksums
molbert,grover_base,AUROC,MDR1,scaffold,cutoff6,0.1754693467952787,ttest_rel
molbert,grover_base,AUROC,MDR1,scaffold,cutoff6,0.3581028690285257,wilcoxon
molbert,grover_base,AUROC,MDR1,scaffold,cutoff6,0.350582886995198,ttest_ind
molbert,grover_base,AUROC,MDR1,scaffold,cutoff6,0.38305504584585626,ranksums
molbert,grover_base_rdkit,AUROC,MDR1,scaffold,cutoff6,0.01647168756578165,ttest_rel
molbert,grover_base_rdkit,AUROC,MDR1,scaffold,cutoff6,0.03419689190108084,wilcoxon
molbert,grover_base_rdkit,AUROC,MDR1,scaffold,cutoff6,0.26274875909506373,ttest_ind
molbert,grover_base_rdkit,AUROC,MDR1,scaffold,cutoff6,0.30071104714831287,ranksums
grover_base,RF,AUROC,MDR1,scaffold,cutoff6,8.069045643730862e-05,ttest_rel
grover_base,RF,AUROC,MDR1,scaffold,cutoff6,7.252170003228448e-05,wilcoxon
grover_base,RF,AUROC,MDR1,scaffold,cutoff6,0.010905194374623669,ttest_ind
grover_base,RF,AUROC,MDR1,scaffold,cutoff6,0.0004336778335061887,ranksums
grover_base,molbert,AUROC,MDR1,scaffold,cutoff6,0.1754693467952787,ttest_rel
grover_base,molbert,AUROC,MDR1,scaffold,cutoff6,0.3581028690285257,wilcoxon
grover_base,molbert,AUROC,MDR1,scaffold,cutoff6,0.350582886995198,ttest_ind
grover_base,molbert,AUROC,MDR1,scaffold,cutoff6,0.38305504584585626,ranksums
grover_base,grover_base,AUROC,MDR1,scaffold,cutoff6,,ttest_rel
grover_base,grover_base,AUROC,MDR1,scaffold,cutoff6,1,wilcoxon
grover_base,grover_base,AUROC,MDR1,scaffold,cutoff6,1.0,ttest_ind
grover_base,grover_base,AUROC,MDR1,scaffold,cutoff6,1.0,ranksums
grover_base,grover_base_rdkit,AUROC,MDR1,scaffold,cutoff6,0.01255859386892996,ttest_rel
grover_base,grover_base_rdkit,AUROC,MDR1,scaffold,cutoff6,0.0350083231271882,wilcoxon
grover_base,grover_base_rdkit,AUROC,MDR1,scaffold,cutoff6,0.05215811528279122,ttest_ind
grover_base,grover_base_rdkit,AUROC,MDR1,scaffold,cutoff6,0.09775105544859913,ranksums
grover_base_rdkit,RF,AUROC,MDR1,scaffold,cutoff6,0.05454625113145682,ttest_rel
grover_base_rdkit,RF,AUROC,MDR1,scaffold,cutoff6,0.0028538533855484325,wilcoxon
grover_base_rdkit,RF,AUROC,MDR1,scaffold,cutoff6,0.27274420171240815,ttest_ind
grover_base_rdkit,RF,AUROC,MDR1,scaffold,cutoff6,0.015323330243419487,ranksums
grover_base_rdkit,molbert,AUROC,MDR1,scaffold,cutoff6,0.01647168756578165,ttest_rel
grover_base_rdkit,molbert,AUROC,MDR1,scaffold,cutoff6,0.03419689190108084,wilcoxon
grover_base_rdkit,molbert,AUROC,MDR1,scaffold,cutoff6,0.26274875909506373,ttest_ind
