model,metric_name,mol_prop,task,p_value,stats_method
RF,AUROC,MDR1,cutoff6,0.09402020554960815,ttest_rel
RF,AUROC,MDR1,cutoff6,0.08961703998973654,wilcoxon
RF,AUROC,MDR1,cutoff6,0.08438973670287662,ttest_ind
RF,AUROC,MDR1,cutoff6,0.26750270341605364,ranksums
RF,AUPRC,MDR1,cutoff6,0.07537693864636161,ttest_rel
RF,AUPRC,MDR1,cutoff6,0.23861149139196747,wilcoxon
RF,AUPRC,MDR1,cutoff6,0.06665164515978941,ttest_ind
RF,AUPRC,MDR1,cutoff6,0.4077113766456857,ranksums
RF,Precision_PPV,MDR1,cutoff6,0.2809251995159718,ttest_rel
RF,Precision_PPV,MDR1,cutoff6,0.4236362969716799,wilcoxon
RF,Precision_PPV,MDR1,cutoff6,0.2511889142874584,ttest_ind
RF,Precision_PPV,MDR1,cutoff6,0.717188813606376,ranksums
RF,Precision_NPV,MDR1,cutoff6,0.033807266700107384,ttest_rel
RF,Precision_NPV,MDR1,cutoff6,0.11092566512553104,wilcoxon
RF,Precision_NPV,MDR1,cutoff6,0.04111221736044125,ttest_ind
RF,Precision_NPV,MDR1,cutoff6,0.4161358470782788,ranksums
RF,AUROC,CYP3A4,cutoff6,0.0027811414218996936,ttest_rel
RF,AUROC,CYP3A4,cutoff6,0.003609433349384215,wilcoxon
RF,AUROC,CYP3A4,cutoff6,0.002297141805434874,ttest_ind
RF,AUROC,CYP3A4,cutoff6,0.009266594284116124,ranksums
RF,AUPRC,CYP3A4,cutoff6,0.04024733155556817,ttest_rel
RF,AUPRC,CYP3A4,cutoff6,0.10639417319061394,wilcoxon
RF,AUPRC,CYP3A4,cutoff6,0.04266886603855748,ttest_ind
RF,AUPRC,CYP3A4,cutoff6,0.07604147583024336,ranksums
RF,Precision_PPV,CYP3A4,cutoff6,0.22340692692588612,ttest_rel
RF,Precision_PPV,CYP3A4,cutoff6,0.21373137181148327,wilcoxon
RF,Precision_PPV,CYP3A4,cutoff6,0.21803079302074616,ttest_ind
RF,Precision_PPV,CYP3A4,cutoff6,0.1205749922602295,ranksums
RF,Precision_NPV,CYP3A4,cutoff6,0.06908656136026155,ttest_rel
RF,Precision_NPV,CYP3A4,cutoff6,0.18462187723062606,wilcoxon
RF,Precision_NPV,CYP3A4,cutoff6,0.06300923024634245,ttest_ind
RF,Precision_NPV,CYP3A4,cutoff6,0.673495052801603,ranksums
RF,AUROC,CYP2D6,cutoff6,0.4078149153052746,ttest_rel
RF,AUROC,CYP2D6,cutoff6,0.4528065046691958,wilcoxon
RF,AUROC,CYP2D6,cutoff6,0.42248442492030047,ttest_ind
RF,AUROC,CYP2D6,cutoff6,0.4119108371475996,ranksums
RF,AUPRC,CYP2D6,cutoff6,,ttest_rel
RF,AUPRC,CYP2D6,cutoff6,0.06448905195968246,wilcoxon
RF,AUPRC,CYP2D6,cutoff6,,ttest_ind
RF,AUPRC,CYP2D6,cutoff6,0.31118764341027494,ranksums
RF,Precision_PPV,CYP2D6,cutoff6,0.8117331424654164,ttest_rel
RF,Precision_PPV,CYP2D6,cutoff6,0.581228130412935,wilcoxon
RF,Precision_PPV,CYP2D6,cutoff6,0.80260249242567,ttest_ind
RF,Precision_PPV,CYP2D6,cutoff6,0.7338250612126413,ranksums
RF,Precision_NPV,CYP2D6,cutoff6,0.16315082571339495,ttest_rel
RF,Precision_NPV,CYP2D6,cutoff6,0.17790738330384115,wilcoxon
RF,Precision_NPV,CYP2D6,cutoff6,0.13091495277062162,ttest_ind
RF,Precision_NPV,CYP2D6,cutoff6,0.22257289646656508,ranksums
RF,AUROC,MOR,cutoff6,0.0014787810006806628,ttest_rel
RF,AUROC,MOR,cutoff6,0.0024147041360347552,wilcoxon
RF,AUROC,MOR,cutoff6,0.0003587768305088028,ttest_ind
RF,AUROC,MOR,cutoff6,0.0011436497674470886,ranksums
RF,AUPRC,MOR,cutoff6,0.0008847803763921,ttest_rel
RF,AUPRC,MOR,cutoff6,0.0013820358574399946,wilcoxon
RF,AUPRC,MOR,cutoff6,0.00040349162633886415,ttest_ind
RF,AUPRC,MOR,cutoff6,0.002688839981756471,ranksums
RF,Precision_PPV,MOR,cutoff6,0.002547941073406535,ttest_rel
RF,Precision_PPV,MOR,cutoff6,0.002584559206552009,wilcoxon
RF,Precision_PPV,MOR,cutoff6,0.0013856134296480582,ttest_ind
RF,Precision_PPV,MOR,cutoff6,0.001268534539381128,ranksums
RF,Precision_NPV,MOR,cutoff6,0.6065032672450741,ttest_rel
RF,Precision_NPV,MOR,cutoff6,0.30861485052601767,wilcoxon
RF,Precision_NPV,MOR,cutoff6,0.5947427075620849,ttest_ind
RF,Precision_NPV,MOR,cutoff6,0.1241512810914928,ranksums
RF,AUROC,DOR,cutoff6,6.043741649543389e-07,ttest_rel
RF,AUROC,DOR,cutoff6,3.1123151153729114e-05,wilcoxon
RF,AUROC,DOR,cutoff6,8.211771923100033e-08,ttest_ind
RF,AUROC,DOR,cutoff6,1.1499274734848317e-06,ranksums
RF,AUPRC,DOR,cutoff6,7.442134022461529e-10,ttest_rel
