model_1,model_2,metric_name,mol_prop,split_type,task,p_value,stats_method
RF,RF,RMSE,MDR1,scaffold,reg,,ttest_rel
RF,RF,RMSE,MDR1,scaffold,reg,1,wilcoxon
RF,RF,RMSE,MDR1,scaffold,reg,1.0,ttest_ind
RF,RF,RMSE,MDR1,scaffold,reg,1.0,ranksums
RF,molbert,RMSE,MDR1,scaffold,reg,2.0626540081646558e-09,ttest_rel
RF,molbert,RMSE,MDR1,scaffold,reg,1.9209211049031396e-06,wilcoxon
RF,molbert,RMSE,MDR1,scaffold,reg,5.354096919468597e-09,ttest_ind
RF,molbert,RMSE,MDR1,scaffold,reg,2.9536944910250094e-08,ranksums
RF,grover_base,RMSE,MDR1,scaffold,reg,1.2801076974080477e-09,ttest_rel
RF,grover_base,RMSE,MDR1,scaffold,reg,1.7343976283205784e-06,wilcoxon
RF,grover_base,RMSE,MDR1,scaffold,reg,7.126933082679827e-11,ttest_ind
RF,grover_base,RMSE,MDR1,scaffold,reg,9.444947151237864e-11,ranksums
RF,grover_base_rdkit,RMSE,MDR1,scaffold,reg,0.0005876112637845622,ttest_rel
RF,grover_base_rdkit,RMSE,MDR1,scaffold,reg,0.000715703384624892,wilcoxon
RF,grover_base_rdkit,RMSE,MDR1,scaffold,reg,0.012299797358320607,ttest_ind
RF,grover_base_rdkit,RMSE,MDR1,scaffold,reg,0.021089946407876443,ranksums
molbert,RF,RMSE,MDR1,scaffold,reg,2.0626540081646558e-09,ttest_rel
molbert,RF,RMSE,MDR1,scaffold,reg,1.9209211049031396e-06,wilcoxon
molbert,RF,RMSE,MDR1,scaffold,reg,5.354096919468597e-09,ttest_ind
molbert,RF,RMSE,MDR1,scaffold,reg,2.9536944910250094e-08,ranksums
molbert,molbert,RMSE,MDR1,scaffold,reg,,ttest_rel
molbert,molbert,RMSE,MDR1,scaffold,reg,1,wilcoxon
molbert,molbert,RMSE,MDR1,scaffold,reg,1.0,ttest_ind
molbert,molbert,RMSE,MDR1,scaffold,reg,1.0,ranksums
molbert,grover_base,RMSE,MDR1,scaffold,reg,4.76873027215043e-05,ttest_rel
molbert,grover_base,RMSE,MDR1,scaffold,reg,4.0715116266282543e-05,wilcoxon
molbert,grover_base,RMSE,MDR1,scaffold,reg,0.0001640484626147028,ttest_ind
molbert,grover_base,RMSE,MDR1,scaffold,reg,4.493865560056083e-05,ranksums
molbert,grover_base_rdkit,RMSE,MDR1,scaffold,reg,6.1175032780720254e-06,ttest_rel
molbert,grover_base_rdkit,RMSE,MDR1,scaffold,reg,3.5152372790448263e-06,wilcoxon
