model,metric_name,mol_prop,task,p_value,stats_method
RF,RMSE,MDR1,reg,3.2574330768587e-07,ttest_rel
RF,RMSE,MDR1,reg,5.751653269401829e-06,wilcoxon
RF,RMSE,MDR1,reg,1.7059330041275781e-06,ttest_ind
RF,RMSE,MDR1,reg,6.974496589247281e-06,ranksums
RF,MAE,MDR1,reg,1.3728838485313498e-10,ttest_rel
RF,MAE,MDR1,reg,2.3534209951215346e-06,wilcoxon
RF,MAE,MDR1,reg,3.461978879274228e-12,ttest_ind
RF,MAE,MDR1,reg,3.343643661506718e-09,ranksums
RF,R2,MDR1,reg,1.6218710983375377e-05,ttest_rel
RF,R2,MDR1,reg,1.639446301677989e-05,wilcoxon
RF,R2,MDR1,reg,2.3822006824550063e-05,ttest_ind
RF,R2,MDR1,reg,3.2610863452154165e-05,ranksums
RF,Pearson_R,MDR1,reg,6.017605247894998e-05,ttest_rel
RF,Pearson_R,MDR1,reg,7.690859302848515e-06,wilcoxon
RF,Pearson_R,MDR1,reg,5.89809380177947e-05,ttest_ind
RF,Pearson_R,MDR1,reg,1.292296105673061e-05,ranksums
RF,RMSE,CYP3A4,reg,3.070267096039913e-05,ttest_rel
RF,RMSE,CYP3A4,reg,0.0001477276174888222,wilcoxon
RF,RMSE,CYP3A4,reg,4.463135979140023e-06,ttest_ind
RF,RMSE,CYP3A4,reg,1.6905880509649904e-05,ranksums
RF,MAE,CYP3A4,reg,1.023434384996924e-07,ttest_rel
RF,MAE,CYP3A4,reg,1.0246327832617613e-05,wilcoxon
RF,MAE,CYP3A4,reg,6.4269603717271396e-09,ttest_ind
RF,MAE,CYP3A4,reg,2.1104831763424364e-07,ranksums
RF,R2,CYP3A4,reg,2.9970321470196037e-07,ttest_rel
RF,R2,CYP3A4,reg,2.3534209951215346e-06,wilcoxon
RF,R2,CYP3A4,reg,4.411182097218644e-08,ttest_ind
RF,R2,CYP3A4,reg,4.8848156981151004e-08,ranksums
RF,Pearson_R,CYP3A4,reg,6.025860208819123e-08,ttest_rel
RF,Pearson_R,CYP3A4,reg,2.878599219394298e-06,wilcoxon
RF,Pearson_R,CYP3A4,reg,6.0015201962753825e-09,ttest_ind
RF,Pearson_R,CYP3A4,reg,1.1107275287826552e-07,ranksums
RF,RMSE,CYP2D6,reg,6.219361830860424e-06,ttest_rel
RF,RMSE,CYP2D6,reg,3.7242647279456434e-05,wilcoxon
RF,RMSE,CYP2D6,reg,2.1850408379969814e-05,ttest_ind
RF,RMSE,CYP2D6,reg,6.978710290760659e-05,ranksums
RF,MAE,CYP2D6,reg,4.844950303198604e-09,ttest_rel
RF,MAE,CYP2D6,reg,2.878599219394298e-06,wilcoxon
RF,MAE,CYP2D6,reg,5.683929097422633e-10,ttest_ind
RF,MAE,CYP2D6,reg,4.134183607820152e-08,ranksums
RF,R2,CYP2D6,reg,1.6328130468469372e-10,ttest_rel
RF,R2,CYP2D6,reg,1.7343976283205784e-06,wilcoxon
RF,R2,CYP2D6,reg,6.835076544503953e-12,ttest_ind
RF,R2,CYP2D6,reg,8.487224956448374e-10,ranksums
RF,Pearson_R,CYP2D6,reg,2.023345828292693e-09,ttest_rel
RF,Pearson_R,CYP2D6,reg,1.7343976283205784e-06,wilcoxon
RF,Pearson_R,CYP2D6,reg,8.42529628456518e-11,ttest_ind
RF,Pearson_R,CYP2D6,reg,1.943301315923336e-09,ranksums
RF,RMSE,MOR,reg,7.781955117859157e-05,ttest_rel
RF,RMSE,MOR,reg,5.306991938091102e-05,wilcoxon
RF,RMSE,MOR,reg,3.2666904403880056e-05,ttest_ind
RF,RMSE,MOR,reg,9.497303014292743e-05,ranksums
RF,MAE,MOR,reg,4.289770155324012e-06,ttest_rel
RF,MAE,MOR,reg,2.5967125848447383e-05,wilcoxon
RF,MAE,MOR,reg,6.241639005097376e-07,ttest_ind
RF,MAE,MOR,reg,1.3347593319564193e-06,ranksums
RF,R2,MOR,reg,6.820341250589106e-06,ttest_rel
RF,R2,MOR,reg,2.1630223983536902e-05,wilcoxon
RF,R2,MOR,reg,2.046893540806299e-06,ttest_ind
RF,R2,MOR,reg,4.5797528646727795e-06,ranksums
RF,Pearson_R,MOR,reg,1.2555832348072354e-05,ttest_rel
RF,Pearson_R,MOR,reg,3.4052567232805375e-05,wilcoxon
RF,Pearson_R,MOR,reg,3.8513352349204914e-06,ttest_ind
RF,Pearson_R,MOR,reg,1.05414222608851e-05,ranksums
RF,RMSE,DOR,reg,1.57520914557733e-08,ttest_rel
RF,RMSE,DOR,reg,2.1630223983536902e-05,wilcoxon
RF,RMSE,DOR,reg,1.597751978465983e-10,ttest_ind
RF,RMSE,DOR,reg,1.204416246623813e-07,ranksums
RF,MAE,DOR,reg,6.4485624588248755e-09,ttest_rel
RF,MAE,DOR,reg,1.360110796799097e-05,wilcoxon
RF,MAE,DOR,reg,7.213147457935287e-11,ttest_ind
RF,MAE,DOR,reg,1.0241093891197968e-07,ranksums
RF,R2,DOR,reg,6.024125578519233e-09,ttest_rel
RF,R2,DOR,reg,4.729202337447058e-06,wilcoxon
RF,R2,DOR,reg,2.041714255993004e-10,ttest_ind
RF,R2,DOR,reg,5.766836258101915e-08,ranksums
RF,Pearson_R,DOR,reg,1.6367010844020352e-08,ttest_rel
RF,Pearson_R,DOR,reg,5.216493447033368e-06,wilcoxon
RF,Pearson_R,DOR,reg,9.301496044335835e-10,ttest_ind
RF,Pearson_R,DOR,reg,1.3057305617737212e-07,ranksums
RF,RMSE,KOR,reg,9.64823258681468e-10,ttest_rel
RF,RMSE,KOR,reg,1.7343976283205784e-06,wilcoxon
RF,RMSE,KOR,reg,6.002334754858441e-12,ttest_ind
RF,RMSE,KOR,reg,4.4029951679875334e-10,ranksums
RF,MAE,KOR,reg,1.210130547496899e-11,ttest_rel
RF,MAE,KOR,reg,1.7343976283205784e-06,wilcoxon
RF,MAE,KOR,reg,3.102312958271574e-14,ttest_ind
RF,MAE,KOR,reg,7.033945524801963e-11,ranksums
RF,R2,KOR,reg,2.388697810458043e-09,ttest_rel
RF,R2,KOR,reg,2.3534209951215346e-06,wilcoxon
RF,R2,KOR,reg,1.561563671238532e-11,ttest_ind
RF,R2,KOR,reg,3.6574283634182552e-09,ranksums
RF,Pearson_R,KOR,reg,7.921657075902028e-09,ttest_rel
RF,Pearson_R,KOR,reg,4.729202337447058e-06,wilcoxon
