SMILES,freq,rank
c1ccccc1,34,1
O=C(NCCCN1CCC[C@@H](Cc2ccccc2)C1)Nc1cccc(-c2nnn[nH]2)c1,30,2
c1ccc(CN(c2ccccc2)[C@H]2CCNC2)cc1,30,3
C1=C(Cc2cnccn2)c2ccccc2C1,21,4
O=C(/C=C/c1ccccc1)c1ccc[nH]1,18,5
O=C(Nc1nccs1)N[C@@H]1CCNC[C@H]1CN1CCC[C@@H](Cc2ccccc2)C1,16,6
O=C(Nc1nccs1)N[C@@H]1CNCC[C@H]1CN1CCC[C@@H](Cc2ccccc2)C1,16,7
c1ccc(O[C@@H]2CCc3ccccc32)cc1,15,8
O=C(CNc1ccccc1)N[C@H](CN1CCCC1)c1ccccc1,14,9
O=C1Nc2cc(-c3cncnc3)ccc2OC1c1ccccc1,13,10
C1=C(c2ccccc2)c2ccccc2OC12CCNCC2,13,11
O=C(Cc1ccccc1)N[C@H](CN1CCCC1)c1ccccc1,13,12
O=C(NCc1ccccc1)C(c1ccccc1)N1CCN(CCCOc2ccccc2)CC1,12,13
c1ccc2[nH]cnc2c1,12,14
O=C(/C=C/c1ccccc1)c1ccncc1,11,15
c1ccc2c(c1)CN[C@@H](CN[C@H]1CCCc3cccnc31)C2,11,16
c1ccc2c(c1)CCNC2C1CCCCC1,11,17
O=c1cc(-c2ccncn2)nc(N2CCN(c3ccccc3)CC2)[nH]1,10,18
O=C(Cn1ccc(=O)nc1SCc1ccccc1)NCc1ccc(-c2ccccc2)cc1,10,19
c1ccc(O[C@@H]2COCc3ccccc32)cc1,10,20
c1cncc(-c2cccs2)c1,9,21
c1ccc(CC2(c3ccc4[nH]ccc4c3)CCNC2)cc1,9,22
c1ccc(OCCCNCCc2c[nH]c3ccccc23)cc1,9,23
O=C(NCC(c1ccccc1)N1CCN(CCCOc2ccccc2)CC1)c1ccccc1,9,24
c1ccc(OCCCNCCc2cc3ccccc3[nH]2)cc1,9,25
O=c1cc(-c2ccncn2)nc(N2CCO[C@@H](c3ccccc3)C2)[nH]1,9,26
c1cncc(-c2ccco2)c1,9,27
c1ccc(CSc2nc3ccccc3[nH]2)cc1,9,28
c1ccc(CN(C2CCOCC2)[C@H]2CCNC2)cc1,9,29
c1ccc(Sc2ccccc2N2CCNCC2)cc1,8,30
c1ccc([C@@H]2CCCc3ccccc32)cc1,8,31
c1ccc(-c2ccccc2CN[C@H]2CCNC2)cc1,8,32
c1ccc(COc2ccccc2)cc1,8,33
O=C(CCCc1ccccc1)N1CCCC1,8,34
c1cc2[nH]ncc2cc1N1CCNCC1,8,35
c1ccc(O[C@@H](c2ccccc2)[C@H]2CCNC2)cc1,8,36
O=S(=O)(Nc1ccc(-c2ccncc2)cc1)c1ccccc1,7,37
c1ccc(Cn2c(N3CCCCC3)nc3ccccc32)cc1,7,38
c1ccc(Nc2ccnc3ccccc23)cc1,7,39
O=C(NCCCNC(=O)c1cnn(-c2ccccc2)c1)c1ccccc1,7,40
O=C(Nc1cccc2cnccc12)N[C@@H]1CCOc2ccccc21,7,41
c1ccc(-n2ccnc2)cc1,7,42
c1ccc(Cc2csc3ccccc23)nc1,7,43
c1cncc(Cc2csc3ccccc23)c1,6,44
O=S(=O)(c1ccccc1)n1cc(CN2CCNCC2)c2ccccc21,6,45
c1ccc([C@H]2CCCc3ccccc32)cc1,6,46
c1ccc(Cn2nc(-c3ncno3)c3ccccc32)cc1,6,47
c1ccc2ccccc2c1,6,48
O=C(/C=C/c1ccccc1)c1cccnc1,6,49
O=C(NCCCN1CCC[C@@H](Cc2ccccc2)C1)Nc1ccccc1,6,50
O=C(c1ccccc1)N(c1ccccc1)C1CCN(CCCOc2ccccc2)CC1,6,51
c1ccc(CSc2nc3ccccc3[nH]2)nc1,6,52
c1ccc(O[C@H]2COCc3ccccc32)cc1,6,53
c1ccc(-n2cc3c(n2)CN(c2ccncn2)C3)cc1,6,54
O=C(C1CCN(Cc2ccncc2)CC1)N1CCC(n2c(=O)n(Cc3ccccc3)c3ccccc32)CC1,6,55
O=C(c1c[nH]cn1)N(Cc1ccccc1)[C@@H]1C[C@@H]2CNC[C@@H]2C1,6,56
c1ccc(-c2cccc(-c3nc4ccccc4[nH]3)c2)cc1,5,57
c1ccc(O[C@H](c2ccccc2)[C@@H]2CCNC2)cc1,5,58
C1=CCC(c2ccccc2)CNC1,5,59
O=c1onc2n1C=CSC2c1ccccc1,5,60
O=C(N[C@H](CN1CCCC1)c1ccccc1)C1CCc2ccccc2O1,5,61
c1ccc(N2CCCc3ccccc32)cc1,5,62
O=C(N[C@H](CN1CCCC1)c1ccccc1)[C@@H]1Cc2ccccc2O1,5,63
c1ccc(OCCCNCCc2ccc3ccccc3c2)cc1,5,64
O=c1[nH]c(=O)c2c(cc(N3CCCCC3)n2Cc2ccccc2)[nH]1,5,65
c1ccc2c(c1)CN[C@@H](CN(CCCN1CCNCC1)[C@H]1CCCc3cccnc31)C2,5,66
c1ccncc1,5,67
O=C(N[C@H](CN1CCCC1)c1ccccc1)[C@H]1Cc2ccccc2O1,5,68
c1ccc(O[C@@H]2CCOc3ccccc32)cc1,5,69
O=C1CCOc2ccc(CCN3CCC(Cc4ccccc4)CC3)cc21,5,70
c1ccc2c(c1)CN[C@@H](CN(CCCCNC1CCCCC1)[C@H]1CCCc3cccnc31)C2,5,71
c1ccc(CN[C@H]2CCCN[C@H]2c2ccccc2)cc1,5,72
c1ccc(O[C@H]2CCOc3ccccc32)cc1,5,73
c1ccc(-c2ccc3c(-c4ccccc4)cccc3c2)cc1,5,74
c1ccc(OC(CC2CNC2)c2ccccc2)cc1,4,75
O=C(N[C@H](CN1CCCC1)c1ccccc1)[C@H]1CCc2ccccc2O1,4,76
O=C(Nc1ccccc1)[C@H](C1CCCCC1)n1c(-c2ccccc2)nc2ccccc21,4,77
O=C(c1ccccc1)C1CCCN1,4,78
C1=N[C@@]2(c3ccccc3)CO[C@@H](c3cn[nH]c3)C[C@H]2CS1,4,79
c1ccc([C@@H]2C[C@@]23CCN(CCCSc2nnc(-c4cnco4)[nH]2)C3)cc1,4,80
O=c1c2cc(-c3ccccc3)ccc2ncn1C[C@H]1CCCNC1,4,81
O=C(OC1C2CC3CC(C2)CC1C3)N1CC[C@@H](Nc2ccccn2)C1,4,82
c1ccc2c(-c3cnc4[nH]ccc4n3)n[nH]c2c1,4,83
O=C(CNCC1CCCCC1)N1CCc2ccccc2C1,4,84
C1=N[C@@]2(c3ccccc3)CO[C@@H](c3ncco3)C[C@H]2CS1,4,85
O=C(Nc1ccc2[nH]ncc2c1)C1=CNC(c2ccncc2)=NC1c1ccccc1,4,86
c1cnc2c(c1)CCC[C@@H]2NC[C@H]1Cc2c(cccc2N2CCNCC2)CN1,4,87
O=C1NCCn2c1cc1cc(OC3CCNCC3)ccc12,4,88
O=C(OC1C2CC3CC(C2)CC1C3)N1CC[C@H](Nc2ccccn2)C1,4,89
O=C(/C=C/c1ccc([C@H]2CNC[C@@H]2C(=O)Nc2ccccc2)cc1)Nc1ccccc1,4,90
O=c1cc(-c2ccccc2)oc2ccccc12,4,91
O=c1ccoc2ccc(CCN3CCC(Cc4ccccc4)CC3)cc12,4,92
O=C(CCCc1ccccc1)N1CCC[C@H]1CNc1ccccn1,4,93
c1ccc(CC(c2ccccc2)N2CCNCC2)cc1,4,94
O=C(NCC1CCOCC1)c1cnc(Nc2ccccc2)cc1C1CC1,4,95
C1=C(Cc2nccs2)c2ccccc2C1,4,96
c1ccc([C@@H]2CCn3c(nc4cnccc43)C2)cc1,4,97
