SMILES,freq,rank
O=C(c1ccccc1-n1nccn1)N1CCOC[C@H]1Cc1cccc(-n2nccn2)c1,77,1
O=c1c(-c2ccccc2)cn(Cc2ccccc2)c(=O)n1CCc1ccccc1,43,2
O=C([C@@H](Cc1ccccc1)N1CCCC1=O)N1CCN(c2ccccc2)CC1,41,3
O=C(N[C@H](CCNC(=O)c1ccc2ncoc2c1)Cc1ccccc1)OCc1cncs1,22,4
O=C(c1ccccc1-n1nccn1)N1CCOC[C@H]1Cc1cccc(-c2ncccn2)c1,21,5
c1cncc(CNc2ccc(Cc3c[nH]c4ncccc34)cn2)c1,19,6
O=C(c1ccccc1-n1nccn1)N1CCOC[C@H]1Cc1cccc(-c2ncon2)c1,18,7
O=C(Nc1ccccc1)Nc1ccc(-c2ccnc3[nH]cnc23)cc1,18,8
O=c1[nH]ccc(NCCc2ccccc2)c1-c1nc2ccc(N3CCNCC3)cc2[nH]1,18,9
c1ccc(CCCCc2cc3ccncc3[nH]2)cc1,18,10
O=C1Nc2cc(-c3cncnc3)ccc2OC1c1ccccc1,17,11
O=C(CNC(=O)NCc1cscn1)N[C@H](CC[C@H](Cc1ccccc1)NC(=O)OCc1cncs1)Cc1ccccc1,17,12
c1ccccc1,16,13
O=C1[C@H](Cc2ccccc2)N2C(=O)CNN(C(=O)NCc3ccccc3)[C@H]2CN1Cc1cccc2cc[nH]c12,16,14
O=C1OC(c2ccccc2)CCN1Cc1ccc(-c2ccccc2)cc1,16,15
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)N1CCc2ccccc21,14,16
O=C([C@H]1CNCC[C@@]12OCc1ccccc12)N(Cc1ccccc1)C1CC1,13,17
c1ccc(CN[C@H]2C[SH+]C[C@@H](Cc3ccccc3)C2)cc1,12,18
N=C1NC(=O)[C@@H]2CN(c3ncccn3)C[C@]2(c2cc(-c3ccccc3)cs2)N1,12,19
O=C(Cc1ccccc1)Nc1nc(-c2c[nH]c3ncccc23)cs1,12,20
