SMILES,freq,rank
c1ccc([C@@H]2C[C@@H]3CC[C@H](C2)N3CCNCC2CCCCC2)cc1,60,1
c1ccc(C2CCN(C(c3ccccc3)c3ccccc3)CC2)cc1,58,2
c1ccc(CNCCN2[C@H]3CC[C@@H]2C[C@H](c2ccccc2)C3)cc1,58,3
O=C(CCc1ccccc1)NCC(=O)NCC(=O)NCCc1ccccc1,35,4
c1ccc(C(c2ccccc2)N2CCNCC2)cc1,33,5
O=c1cnc2ccccc2n1C1CCN(C2CCCCCCC2)CC1,32,6
O=C1NCN(c2ccccc2)C12CCN(C(c1ccccc1)c1ccccc1)CC2,31,7
O=C1NCN(c2ccccc2)C12CCN(C1CCCc3ccccc31)CC2,27,8
O=C(Cc1ccccc1)N[C@H](CN1CCCC1)c1ccccc1,25,9
c1ccc(Cn2ccnc2C2(c3ccccc3)CCNCC2)cc1,23,10
c1cc2c3c(c1)O[C@H]1C4CCC5(CC4)[C@@H](C2)N(CC2CC2)CC[C@]315,23,11
O=C(NCCc1ccccc1)[C@H](Cc1ccccc1)NC(=O)[C@@H]1Cc2ccccc2CN1C(=O)CCc1ccccc1,23,12
c1ccc2c(c1)CC1CC2CCN1,23,13
O=C(CCc1ccccc1)NCC(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)N1CCCC1,22,14
O=C(CCc1ccccc1)N1CCc2ccccc2C1,21,15
O=c1cnc2ccccc2n1[C@@H]1C[C@@H]2CC[C@H](C1)N2C1CCCCCCC1,20,16
O=C(CCc1ccccc1)NCC(=O)NCCc1ccccc1,20,17
c1ccc2c(c1)CC1CC2CCN1CC1CC1,18,18
c1ccc2c(c1)C[C@@H]1[C@@H]3CCCC[C@]23CCN1CC1CCC1,18,19
C1=C[C@H]2[C@H]3Cc4cccc5c4[C@@]2(CCN3)[C@H](C1)O5,17,20
c1ccc(CNc2ccc3c(c2)[C@@]24CCCC[C@H]2[C@@H](C3)N(CC2CCC2)CC4)cc1,16,21
O=C(/C=C/c1ccccc1)NC[C@H]1C[C@@]23CCC1[C@@H]1Oc4cccc5c4[C@@]12CCN[C@@H]3C5,15,22
c1ccc(CN2CCC(c3ccccc3)CC2)cc1,15,23
O=C1NCN(c2ccccc2)C12CCN(Cc1ccccc1)CC2,15,24
c1cc2c3c(c1)O[C@H]1c4[nH]c5ccccc5c4CC4C(C2)N(CC2CC2)CC[C@@]341,15,25
c1ccc(C[C@@H]2CCN2Cc2ccccc2)cc1,15,26
c1cc2c3c(c1)O[C@H]1c4[nH]c5ccccc5c4CC4C(C2)N(CC2CC2)CCC341,15,27
O=C(N[C@@H]1CCC2[C@H]3Cc4cccc5c4[C@@]2(CCN3CC2CC2)[C@H]1O5)c1ccncc1,14,28
c1cc2c3c(c1)O[C@H]1CCC[C@H]4[C@@H](C2)NCC[C@]314,14,29
O=C1CCCC2=C1C(c1ccc(OCc3ccccc3)cc1)C1=C(CCCC1=O)O2,13,30
c1cc2c3c(c1)O[C@H]1c4[nH]c5ccccc5c4CC4[C@@H](C2)N(CC2CC2)CC[C@@]341,13,31
c1ccc(C[C@@H]2CCN2C(c2ccccc2)c2ccccc2)cc1,13,32
O=C(NCCc1ccc(-c2ccccc2)cc1)c1ccc2c(c1)C1CCN(CC3CC3)C(C2)C1,13,33
O=C1CCCC2CC[C@H]3C(=O)O[C@H](c4ccoc4)CC3[C@@H]12,13,34
O=C(NCCc1ccccc1)[C@@H]1Cc2ccccc2CN1C(=O)CCc1ccccc1,12,35
O=C(N[C@@H]1CCC2[C@H]3Cc4cccc5c4[C@@]2(CCN3CC2CC2)[C@H]1O5)c1ccccc1,12,36
c1ccc(CCN2C3CCC2CC(=C(c2ccccc2)c2ccccc2)C3)cc1,11,37
