SMILES,label,scaffold,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,MW,f_sp3C,n_hetero_atoms,n_stereo_centers,n_hba,n_hbd,n_rota_bonds,n_rings,n_alipha_rings,n_aroma_rings,n_hetero_rings,n_spiro_atoms
COc1ccc2c(c1OC)[C@]13CC[N+](C)(C)[C@H](C2)[C@]12C=C[C@]1(OC)[C@H]3N=C(c3ccccc3)[C@]1(C)C2.[I-],5.473639475383838,C1=C[C@]23CC4C(c5ccccc5)=N[C@H](C14)[C@@]21CC[NH2+][C@@H]3Cc2ccccc21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,612.5520000000001,0.5161290322580645,6,0,4,0,4,8,6,2,2,1
COC12C=CC34C[C@@]1(C)[C@H](c1ccccc1)N[C@H]2C31CCN(C)C4Cc2ccc(O)cc21,10.139434283188365,C1=CC23CC4C1[C@@H](N[C@H]4c1ccccc1)C21CCNC3Cc2ccccc21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428.5760000000003,0.5,4,0,4,2,2,8,6,2,2,1
CO[C@]12C=C[C@]34C[C@@]1(C)[C@H](c1ccccc1)N(C)[C@H]2C31CCN(C)C4Cc2ccc(O)cc21,9.342490308946775,C1=C[C@]23CC4C1[C@@H](N[C@H]4c1ccccc1)C21CCNC3Cc2ccccc21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442.6030000000003,0.5172413793103449,4,0,4,1,2,8,6,2,2,1
COC12C=CC34C[C@@]1(C)C(c1ccccc1)=N[C@H]2C31CCN(C)C4Cc2ccc(O)cc21,9.371063681390831,C1=CC23CC4C(c5ccccc5)=N[C@H](C14)C21CCNC3Cc2ccccc21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.5600000000003,0.4642857142857143,4,0,4,1,2,8,6,2,2,1
COc1ccc2c(c1O)C13CCN(C)C(C2)C12C=CC1(OC)[C@H]3N=C(c3ccccc3)[C@]1(C)C2,8.108001960694889,C1=CC23CC4C(c5ccccc5)=N[C@H](C14)C21CCNC3Cc2ccccc21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.5860000000002,0.4827586206896552,5,0,5,1,3,8,6,2,2,1
CCOc1ccc(C2=N[C@H]3C45CCN(C)C(Cc6ccc(OC)c(O)c64)[C@]54C=C[C@@]3(OC)[C@@]2(C)C4)cc1,6.547272248576235,C1=C[C@]23CC4C(c5ccccc5)=N[C@H](C14)C21CCNC3Cc2ccccc21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500.6390000000003,0.5161290322580645,6,0,6,1,5,8,6,2,2,1
NC(=O)[C@@H]1CSSC[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N1,2.393349813801785,O=C(CCc1ccccc1)N[C@@H]1CSSCCNC(=O)[C@H](Cc2ccccc2)NC1=O,0,0,0,0,0,0,0,1,0,0,4,4,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,531.6600000000002,0.3333333333333333,12,0,8,6,7,3,1,2,1,0
CC(C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)C1(NC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc2ccc(O)cc2)Cc2ccccc2C1)C(=O)N[C@H](C(=O)NCC(N)=O)C(C)C,3.089203355959473,O=C(CCc1ccccc1)NCC(=O)NC1Cc2ccccc2C1,1,0,0,0,0,0,0,1,1,1,8,7,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,780.88,0.47368421052631576,18,0,10,10,19,3,1,2,0,0
CN1CC[C@]23c4c5ccc(-c6ccoc6)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,0.0907647208077389,C1=C[C@H]2[C@H]3Cc4ccc(-c5ccoc5)c5c4[C@@]2(CCN3)[C@H](C1)O5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335.403,0.42857142857142855,4,0,4,1,1,6,4,2,3,1
CC(C)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@H](N)Cc1ccc(O)cc1)C(=O)O,6.56638664459955,O=C(CCc1ccccc1)NCC(=O)NCC(=O)NCCc1ccccc1,1,0,0,0,0,0,0,1,1,1,5,4,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555.6320000000004,0.39285714285714285,12,0,7,7,15,2,0,2,0,0
