SMILES,freq,rank
c1ccc(C2CCN(C(c3ccccc3)c3ccccc3)CC2)cc1,59,1
O=C1CCCC2CC[C@H]3C(=O)O[C@H](c4ccoc4)CC3[C@@H]12,47,2
O=c1cnc2ccccc2n1C1CCN(C2CCCCCCC2)CC1,34,3
c1cc2c3c(c1)O[C@H]1C4CCC5(CC4)[C@@H](C2)N(CC2CC2)CC[C@]315,34,4
O=c1c(-c2ccccc2)cccn1C(CN1CCCC1)c1ccccc1,33,5
O=C1NCN(c2ccccc2)C12CCN(C(c1ccccc1)c1ccccc1)CC2,31,6
O=C(CCc1ccccc1)NCC(=O)NCC(=O)NCCc1ccccc1,31,7
O=C1NCN(c2ccccc2)C12CCN(C1CCCc3ccccc31)CC2,27,8
O=c1cnc2ccccc2n1[C@@H]1C[C@@H]2CC[C@H](C1)N2C1CCCCCCC1,27,9
O=C(Cc1ccccc1)N[C@H](CN1CCCC1)c1ccccc1,23,10
c1ccc2c(c1)CC1CC2CCN1,23,11
O=C1CCC2[C@H]3Cc4ccccc4[C@@]2(CCN3CC2CC2)C1,22,12
O=C(Cc1ccccc1)N1CCN[C@H]2CCC[C@H](N3CCCC3)[C@H]21,21,13
O=C(Cc1ccccc1)N1CCNCC1CN1CCCC1,20,14
c1ccc(CN2CCC(c3ccccc3)CC2)cc1,20,15
O=C1CCCC2CC[C@H]3C(=O)O[C@H](c4ccoc4-c4ccccc4)CC3[C@@H]12,19,16
O=C(Nc1nc2ccccc2n1CCN1CCCC1)c1ccccc1,17,17
c1ccc(Cn2ccnc2C2(c3ccccc3)CCNCC2)cc1,16,18
O=C(CCc1ccccc1)N1CCc2ccccc2C1,16,19
O=C(Nc1ccc2ncccc2c1)c1ccccc1COc1ccccc1,16,20
c1ccc2c(c1)C[C@@H]1[C@@H]3CCCC[C@]23CCN1CC1CCC1,15,21
c1cc2c3c(c1)O[C@H]1c4[nH]c5ccccc5c4CC4C(C2)N(CC2CC2)CC[C@@]341,15,22
c1ccc(C[C@@H]2CCN2Cc2ccccc2)cc1,15,23
c1ccc(COC[C@H]2C[C@@]34CCC2[C@@H]2Oc5cccc6c5[C@@]23CC[NH+](CC2CC2)[C@@H]4C6)cc1,15,24
