SMILES,label,scaffold,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,MW,f_sp3C,n_hetero_atoms,n_stereo_centers,n_hba,n_hbd,n_rota_bonds,n_rings,n_alipha_rings,n_aroma_rings,n_hetero_rings,n_spiro_atoms
O=C(Cc1ccc(Cl)c(Cl)c1)N1[C@H](CN2CCCC2)CCC[C@@H]1CO,1.303787360653593,O=C(Cc1ccccc1)N1CCCC[C@H]1CN1CCCC1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385.3350000000003,0.631578947368421,6,0,3,1,5,3,2,1,2,0
O=[N+]([O-])c1cc2c(cc1CN1CCC(n3c(O)nc4ccccc43)CC1)OCO2,5.389082087355776,c1ccc2c(c1)ncn2C1CCN(Cc2ccc3c(c2)OCO3)CC1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396.4030000000002,0.35,9,0,8,1,4,5,2,3,3,0
COC(=O)c1csc(S(=O)(=O)N2CCN(C(=O)c3ccccc3Nc3ccccc3)CC2)c1OC,0.1126235146202372,O=C(c1ccccc1Nc1ccccc1)N1CCN(S(=O)(=O)c2cccs2)CC1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,515.6130000000003,0.25,11,0,8,1,7,4,1,3,2,0
O=C(Cc1c[nH]c2ccc(Br)cc12)N1CCN(c2ccc([N+](=O)[O-])c3nonc23)CC1,2.0822943901646958,O=C(Cc1c[nH]c2ccccc12)N1CCN(c2cccc3nonc23)CC1,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485.29800000000034,0.25,11,0,7,1,4,5,1,4,3,0
O=C(CCc1ccc(F)cc1)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,1.0555078360678412,O=C(CCc1ccccc1)N1CCN(CCCC(c2ccccc2)c2ccccc2)CC1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480.5740000000001,0.3448275862068966,6,0,2,0,9,4,1,3,1,0
N#Cc1ccc(CCOC(=O)NC2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,1.409147876311419,O=C(NC1CCN(CCCC(c2ccccc2)c2ccccc2)CC1)OCCc1ccccc1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517.6200000000002,0.3548387096774194,7,0,4,1,10,4,1,3,1,0
Cc1ccc2nc(O)n(C3CCN(Cc4cc5c(cc4Cl)OCO5)CC3)c2c1,7.935289263007572,c1ccc2c(c1)ncn2C1CCN(Cc2ccc3c(c2)OCO3)CC1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399.8780000000002,0.38095238095238093,7,0,6,1,3,5,2,3,3,0
O=C(OCc1cccc(Oc2ccccc2)c1)N1CCC2(CC1)C(=O)NCN2c1ccccc1,1.498917875740129,O=C(OCc1cccc(Oc2ccccc2)c1)N1CCC2(CC1)C(=O)NCN2c1ccccc1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457.53000000000026,0.25925925925925924,7,0,5,1,5,5,2,3,2,1
Oc1nc2ccccc2n1C1CCN(Cc2cc3c(cc2Cl)OCO3)CC1,8.46937174893783,c1ccc2c(c1)ncn2C1CCN(Cc2ccc3c(c2)OCO3)CC1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385.8510000000001,0.35,7,0,6,1,3,5,2,3,3,0
O=[N+]([O-])c1cc2c(cc1CN1CC=C(n3c(O)nc4ccccc43)CC1)OCO2,3.260207087820766,C1=C(n2cnc3ccccc32)CCN(Cc2ccc3c(c2)OCO3)C1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394.3870000000002,0.25,9,0,8,1,4,5,2,3,3,0
O=c1[nH]c2ccccc2n(C2CCN(Cc3cc4c(cc3Cl)OCO4)CC2)c1=O,5.534264097200273,O=c1[nH]c2ccccc2n(C2CCN(Cc3ccc4c(c3)OCO4)CC2)c1=O,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413.86100000000016,0.3333333333333333,8,0,6,1,3,5,2,3,3,0
Cl.Cl.Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,1.331438891984103,c1ccc(CCCN2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523.4950000000003,0.35714285714285715,7,0,3,0,10,4,1,3,1,0
COc1cc(/C=C/C(=O)N2CCC(n3c(O)nc4ccccc43)CC2)c([N+](=O)[O-])cc1OC,0.6984783450592715,O=C(/C=C/c1ccccc1)N1CCC(n2cnc3ccccc32)CC1,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452.4670000000002,0.30434782608695654,10,0,8,1,6,4,1,3,2,0
Cl.Cl.Fc1ccc(C(OCCN2CCN(C/C=C/c3ccccc3)CC2)c2ccc(F)cc2)cc1,1.5212651744321253,C(=C/c1ccccc1)\CN1CCN(CCOC(c2ccccc2)c2ccccc2)CC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521.4790000000003,0.2857142857142857,7,0,3,0,9,4,1,3,1,0
O=C(NCCCn1c(O)nc2ccccc21)OCc1cc2c(cc1Cl)OCO2,1.538359607791425,O=C(NCCCn1cnc2ccccc21)OCc1ccc2c(c1)OCO2,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,0,2,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,403.82200000000023,0.2631578947368421,9,0,7,2,6,4,1,3,2,0
CCOc1ccc(CCNC(=O)N2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,0.6763915576564283,O=C(NCCc1ccccc1)N1CCN(CCCC(c2ccccc2)c2ccccc2)CC1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,521.6520000000003,0.3870967741935484,7,0,3,1,11,4,1,3,1,0
O=C1NCN(c2ccccc2)C12CCN(Cc1cccc(Oc3ccccc3)c1)CC2,4.38487948315874,O=C1NCN(c2ccccc2)C12CCN(Cc1cccc(Oc3ccccc3)c1)CC2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413.52100000000013,0.2692307692307692,5,0,4,1,5,5,2,3,2,1
