SMILES,freq,rank
O=c1cc(-c2ccccc2)oc2ccccc12,55,1
O=C1CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1,47,2
O=C(CCc1ccccc1)c1ccccc1OCCCN1CCN(c2ccccc2)CC1,36,3
c1ccc(OCCCN2CCN(c3ccccc3)CC2)cc1,34,4
c1ccc2c(c1)CCCO2,25,5
O=C(Nc1ccc(-c2ccccc2)cc1)c1ccccc1,22,6
c1ccc(CCc2ccccc2OCc2ccccc2)cc1,19,7
O=C(Nc1ccccc1-c1nnn(-c2ccccc2)n1)c1ccccc1,17,8
O=C(/C=C/c1ccccc1)O[C@H]1[C@H]2CO[C@]3(CCCCC3[C@H]1OC(=O)c1ccccc1)C2,17,9
c1ccc(-c2ccc(CN3CCc4ccccc4C3)cc2)cc1,16,10
O=C(Nc1ccccc1)c1ccccc1OCc1cn(CCN2CCc3ccccc3C2)nn1,16,11
O=C(CCc1ccccc1)c1ccccc1,16,12
c1ccc(Nc2nc(-c3ccccc3)nc3ccccc23)cc1,15,13
O=C(c1ccoc1)N1CCN(c2cc(-c3ccccc3)nc3cc(-c4ccccc4)nn23)CC1,14,14
O=C(c1ccoc1)N1CCN(c2cc(-c3ccco3)nc3cc(-c4ccccc4)nn23)CC1,14,15
O=C(NNC(=O)c1ccccc1)c1ccccc1,13,16
O=C1CNC(=O)CNC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)COC(=O)CNC(=O)CN1,12,17
O=C(c1ccoc1)N1CCN(c2ccnc3cc(-c4ccccc4)nn23)CC1,11,18
O=C(O[C@@H]1Cc2ccccc2O[C@@H]1c1ccccc1)c1ccccc1,11,19
O=C(Nc1ccc(-c2cccnc2)cc1)c1ccccc1,11,20
O=C(Cc1cccc(-n2c(=O)c3conc3c3ccccc32)c1)Nc1ccccc1,10,21
O=S(=O)(c1ccccc1)c1cno[nH+]1,10,22
c1ccc(CCCc2ccccc2OCCCN2CCCCC2)cc1,9,23
c1ccccc1,9,24
c1ccc(OCCCN2CCCCC2)cc1,9,25
