SMILES,freq,rank
c1ccc([C@@H]2C[C@@H]3CC[C@H](C2)N3CCNCC2CCCCC2)cc1,60,1
c1ccc(C2CCN(C(c3ccccc3)c3ccccc3)CC2)cc1,59,2
c1ccc(CNCCN2[C@H]3CC[C@@H]2C[C@H](c2ccccc2)C3)cc1,58,3
O=c1cnc2ccccc2n1C1CCN(C2CCCCCCC2)CC1,35,4
O=C1NCN(c2ccccc2)C12CCN(C(c1ccccc1)c1ccccc1)CC2,29,5
O=C(CCc1ccccc1)N1CCc2ccccc2C1,27,6
O=c1cnc2ccccc2n1[C@@H]1C[C@@H]2CC[C@H](C1)N2C1CCCCCCC1,27,7
c1ccc(C(c2ccccc2)N2[C@H]3CC[C@@H]2CC(c2ccccn2)C3)cc1,26,8
O=C1NCN(c2ccccc2)C12CCN(C1CCCc3ccccc31)CC2,26,9
O=c1[nH]c2ccccc2n1C1CCN(CCCOc2ccccc2)CC1,25,10
O=C1CCCC2CC[C@H]3C(=O)O[C@H](c4ccoc4)CC3[C@@H]12,25,11
c1ccc(CN2CCC(c3ccccc3)CC2)cc1,23,12
c1ccc2c(c1)CC1CC2CCN1,22,13
c1cc2c3c(c1)O[C@H]1C4CCC5(CC4)[C@@H](C2)N(CC2CC2)CC[C@]315,22,14
O=C(CCc1ccccc1)NCC(=O)NCC(=O)NCCc1ccccc1,21,15
c1ccc(OCCCN2CCC(n3cnc4ccccc43)CC2)cc1,19,16
O=C1CCC2[C@H]3Cc4ccccc4[C@@]2(CCN3CC2CC2)C1,19,17
O=c1c(-c2ccccc2)cccn1C(CN1CCCC1)c1ccccc1,18,18
c1ccc(CCN2C3CCC2CC(=C(c2ccccc2)c2ccccc2)C3)cc1,17,19
c1ccc(C(=C2CCNCC2)c2ccccc2)cc1,17,20
c1ccc(C2CCC3(CC2)OCCc2c3[nH]c3ccccc23)cc1,17,21
O=C1CCCc2c1cnn2-c1ccccc1,17,22
O=C(Nc1ccc2ncccc2c1)c1ccccc1COc1ccccc1,16,23
O=C(Cc1ccccc1)N[C@H](CN1CCCC1)c1ccccc1,16,24
c1ccc(CN2CCC(N(c3ccccc3)c3ccccc3)CC2)cc1,16,25
O=c1[nH]c2ccccc2n1C1CCN(Cc2ccccc2)CC1,15,26
c1cc2c3c(c1)O[C@H]1c4[nH]c5ccccc5c4CC4C(C2)N(CC2CC2)CC[C@@]341,15,27
c1ccc(C(c2ccccc2)N2CCNCC2)cc1,15,28
c1ccc2c(c1)CCCC2,15,29
c1ccc2c(c1)C[C@@H]1[C@@H]3CCCC[C@]23CCN1CC1CCC1,15,30
c1ccc(C[C@@H]2CCN2Cc2ccccc2)cc1,15,31
c1ccc(C2CCNCC2)cc1,14,32
c1ccc(C2CCCCC2)cc1,14,33
O=C1NCN(c2ccccc2)C12CCN(Cc1ccccc1)CC2,14,34
c1ccc(C[C@@H]2CCN2C(c2ccccc2)c2ccccc2)cc1,13,35
