SMILES,label,scaffold,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,MW,f_sp3C,n_hetero_atoms,n_stereo_centers,n_hba,n_hbd,n_rota_bonds,n_rings,n_alipha_rings,n_aroma_rings,n_hetero_rings,n_spiro_atoms
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NN,7.4524374912839875,O=C(CCc1ccccc1)NCC(=O)NCC(=O)NCCc1ccccc1,0,0,0,0,0,0,0,1,0,0,4,4,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470.53000000000026,0.30434782608695654,11,0,7,7,11,2,0,2,0,0
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NNC(=O)[C@H](N)Cc1ccccc1,6.883744485197448,O=C(CCc1ccccc1)NCC(=O)NCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NNC(=O)CCc1ccccc1,0,0,0,0,0,1,1,1,0,0,5,5,0,0,0,0,6,2,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656.7440000000001,0.2647058823529412,14,0,8,9,14,4,0,4,1,0
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NNC(=O)[C@H](N)Cc1c[nH]c2ccccc12,8.306852819440055,O=C(CCc1ccccc1)NCC(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NNC(=O)CCc1c[nH]c2ccccc12,0,0,0,0,0,1,1,1,0,0,5,5,0,0,0,0,6,2,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656.744,0.2647058823529412,14,0,8,9,14,4,0,4,1,0
CCCC[C@@H](N)C(=O)NNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1,7.225047649088326,O=C(CCc1ccccc1)NCC(=O)NCC(=O)NCCc1ccccc1,0,0,0,0,0,0,0,1,0,0,5,5,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583.6900000000004,0.41379310344827586,13,0,8,8,15,2,0,2,0,0
CCCC[C@H](N)C(=O)NNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1,8.737635735532509,O=C(CCc1ccccc1)NCC(=O)NCC(=O)NCCc1ccccc1,0,0,0,0,0,0,0,1,0,0,5,5,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583.6900000000004,0.41379310344827586,13,0,8,8,15,2,0,2,0,0
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NNC(=O)[C@H](N)Cc1ccc(O)cc1,8.529996370754265,O=C(CCc1ccccc1)NCC(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NNC(=O)CCc1ccccc1,0,0,0,0,0,0,0,2,0,0,5,5,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633.7060000000001,0.28125,14,0,9,9,14,3,0,3,0,0
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NNC(=O)[C@H](N)Cc1ccccc1,9.30110509278392,O=C(CCc1ccccc1)NCC(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NNC(=O)CCc1ccccc1,0,0,0,0,0,0,0,1,0,0,5,5,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617.7070000000001,0.28125,13,0,8,8,14,3,0,3,0,0
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NNC(=O)[C@@H](N)Cc1ccccc1,9.127833371509883,O=C(CCc1ccccc1)NCC(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NNC(=O)CCc1ccccc1,0,0,0,0,0,0,0,1,0,0,5,5,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617.7070000000001,0.28125,13,0,8,8,14,3,0,3,0,0
CCN(CC)C(=O)c1ccc(C(c2cccc3c2OC(C)(C)C3)N2CCNCC2)cc1,2.334316282217592,c1ccc(C(c2cccc3c2OCC3)N2CCNCC2)cc1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.58500000000026,0.5,5,0,4,1,6,4,2,2,2,0
C=CCN1CCN(C(c2ccccc2)c2ccc(C(=O)N(CC)CC)cc2)CC1,0.4700880361759871,c1ccc(C(c2ccccc2)N2CCNCC2)cc1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391.55900000000025,0.4,4,0,3,0,8,3,1,2,1,0
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc(OC)c2)cc1,0.4340166444143314,c1ccc(C(=C2CCNCC2)c2ccccc2)cc1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378.5160000000001,0.375,4,0,3,1,6,3,1,2,1,0
CCN(CC)C(=O)c1ccc(C(c2cccc(OC)c2)N2CC(C)(C)NCC2C)cc1,2.5702805219608624,c1ccc(C(c2ccccc2)N2CCNCC2)cc1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423.60100000000017,0.5,5,0,4,1,7,3,1,2,1,0
CCN(CC)C(=O)c1ccc(C(c2ccc(Cl)cc2)N2CCNCC2)cc1,0.4188934828401098,c1ccc(C(c2ccccc2)N2CCNCC2)cc1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385.9390000000002,0.4090909090909091,5,0,3,1,6,3,1,2,1,0
